# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
55819864 35.21127 35.21127 35.21127   17.37 -121.08    3.21  167.04  167.04 1.6704e+12 1.6704e+12 309.15352 77.85798 1.00000 4.054e+10 4.054e+10 28438641       -1       -1
56047886 35.35754 34.69562 34.48724   41.88  -93.43  116.44   84.09   84.09 1.793e+11 1.793e+11 146.92817 21.90268 1.00000 1.2234e+09 1.5283e+09  3830226       -1       -1
55765365 35.09499 35.18082 34.99076   33.65  -10.05  195.07   93.23   93.92 1.6676e+11 1.7225e+11 143.43521 28.83534 0.93360 1.0993e+09 1.3996e+09  6066756 55819864 55819864
55767044 35.28251 35.19956 35.11725   37.30  -22.49  133.06   69.36   83.27 5.9549e+10 1.1789e+11 101.75775 23.22107 0.60160 4.0989e+08 6.3453e+08  3418833 55819864 55819864
56049747 35.38469 35.20572 34.99048    1.74 -127.88   16.88   58.07   75.05 2.4563e+10 7.6423e+10 75.75211 10.69754 0.80080 1.5266e+08 3.0028e+08  2360496 55819864 55819864
55777904 34.09992 34.97375 35.82299   81.29 -135.21   67.81   47.60   47.60 1.9549e+10 1.9549e+10 70.19577 9.97556 1.00000 1.103e+07 4.5465e+07   646795       -1       -1
56050268 35.85451 36.11044 36.07354  -10.42  -72.45   -0.57   39.59   40.90 1.7521e+10 2.0606e+10 67.67606 8.24926 0.72110 8.9458e+06 3.9053e+07   621177       -1       -1
56073604 35.34807 35.14797 35.37554  -59.98   65.40   40.46   47.99   49.09 1.731e+10 2.0451e+10 67.40282 11.54481 0.70780 1.2023e+07 4.8394e+07   754045 55819864 55819864
55776707 35.16856 35.19942 35.19025  202.97 -164.62  239.51   54.74   59.35 1.4001e+10 2.1901e+10 62.80423 8.35611 0.62820 1.3704e+07 5.3205e+07   616626 55819864 55819864
56047884 35.34803 34.68725 34.47906  -26.32 -164.10  111.12   49.60   53.33 1.3689e+10 3.3549e+10 62.33099 6.02963 0.84060 5.5769e+06 2.769e+07   871101 56047886 56047886
56048018 35.38649 34.75556 34.50780  103.80  -32.20  191.58   41.66   48.09 1.3634e+10 2.4549e+10 62.24789 16.67575 0.89380 5.5341e+06 2.7535e+07   676530 56047886 56047886
56011890 35.82715 35.74631 34.07289   18.61 -133.60   86.91   39.44   39.65 1.1762e+10 1.1925e+10 59.25915 7.15013 0.78750 4.1701e+06 2.2399e+07   407188       -1       -1
55819101 35.16138 35.23865 35.19269  241.92 -129.21   88.05   45.75   52.97 1.0246e+10 2.2915e+10 56.59577 7.33729 0.60160 1.4941e+07 5.6636e+07  1119633 55776707 55819864
56072806 35.43066 35.29461 35.33334   36.72 -129.40 -159.00   42.16   43.49 9.4113e+09 9.938e+09 55.01268 7.03218 0.65470 3.0189e+06 1.769e+07   390276 55819864 55819864
55820451 34.63341 35.37670 36.10170   62.71 -124.41   -7.92   39.20   39.20 8.0845e+09 8.0845e+09 52.29718 7.45202 1.00000 2.0319e+06 1.3242e+07   302676       -1       -1
55749266 35.26093 33.89370 34.69439   -5.31  -33.39    4.66   31.79   31.79 6.7324e+09 6.7324e+09 49.20282 5.87793 1.00000 1.4302e+06 1.0239e+07   248949       -1       -1
56047777 35.44227 34.74655 34.52980   49.70  -55.53  172.92   31.20   34.76 5.6746e+09 7.9408e+09 46.47887 7.72562 0.84060 1.0302e+06 8.0503e+06   271139 56048018 56047886
56050840 35.54711 35.88741 35.28121  -42.59 -151.63   96.30   28.55   28.55 5.4789e+09 5.4789e+09 45.93662 7.50572 1.00000 9.6311e+05 7.6622e+06   211445       -1       -1
56045727 35.34427 34.72373 34.45625   -4.84   19.11  167.94   33.68   34.57 4.5563e+09 5.2915e+09 43.19859 6.15190 0.96020 6.7605e+05 5.9101e+06   266477 56047884 56047886
55775355 35.20863 35.04896 35.27315  108.62 -240.39  136.88   32.36   31.77 4.4507e+09 5.5662e+09 42.86338 4.60392 0.66800 9.9279e+05 7.8346e+06   251224 55819864 55819864
55836206 35.10569 35.37954 35.26118   33.89 -159.40 -174.68   27.88   29.45 3.369e+09 4.1e+09 39.06056 4.39537 0.81410 5.5209e+05 5.0936e+06   179800 55819864 55819864
55820503 34.72825 35.45783 35.93255   67.41 -135.77  -11.79   26.22   26.22 3.2338e+09 3.2338e+09 38.53099 9.24803 1.00000 3.5006e+05 3.6454e+06   125422       -1       -1
56027003 35.41262 34.67617 34.78630   17.94  -67.31  118.84   24.75   24.83 2.9408e+09 2.9761e+09 37.33239 5.55175 0.85390 2.9172e+05 3.1885e+06   114477       -1       -1
56012856 35.33586 34.89621 33.94028   47.12 -119.32  125.76   30.33   30.33 2.7465e+09 2.7465e+09 36.48873 2.05850 1.00000 2.5584e+05 2.8954e+06   109018       -1       -1
55773355 35.27604 34.96575 35.14996   81.37 -239.87   56.58   24.16   26.22 2.6141e+09 3.1831e+09 35.89718 5.25216 0.80080 3.396e+05 3.5651e+06   153839 55819864 55819864
55778550 34.64708 35.05245 35.85821  107.89 -118.49   34.36   25.32   25.32 2.5577e+09 2.5577e+09 35.63380 3.62596 1.00000 2.2315e+05 2.6188e+06    95797       -1       -1
56050251 35.82821 36.12535 36.04668   12.12  -65.60   32.21   24.36   27.54 2.1634e+09 3.4775e+09 33.69859 4.48604 0.72110 1.618e+05 2.0678e+06   113811 56050268 56050268
56068732 35.48759 34.96308 35.02885  -14.79  -21.76   64.91   29.01   31.28 2.1535e+09 3.1563e+09 33.65070 4.52529 0.54850 3.3414e+05 3.5229e+06   100120       -1       -1
56050943 35.45139 34.61690 35.04477   25.10  -53.94   91.56   22.72   23.29 2.1465e+09 2.662e+09 33.61690 5.35690 0.68130 1.5938e+05 2.0451e+06    83986       -1       -1
56050342 35.93410 36.15711 36.19504  -15.11  -96.70   12.34   21.52   21.43 2.0324e+09 2.2366e+09 33.00845 4.19488 0.65470 1.4352e+05 1.8934e+06    86171       -1       -1
56012883 35.83323 35.42432 33.89662   -2.90 -143.71   85.41   23.83   23.83 1.9042e+09 1.9042e+09 32.29577 4.12142 1.00000 1.2665e+05 1.7271e+06    75486       -1       -1
55820537 34.41399 35.61503 36.52228   34.07 -136.64   28.13   24.63   24.63 1.8845e+09 1.8845e+09 32.18169 3.26280 1.00000 1.2414e+05 1.702e+06    73888       -1       -1
55761845 34.98589 35.12980 34.66825   45.49    7.44   83.87   24.23   24.51 1.8423e+09 1.9577e+09 31.94225 3.21500 0.70780 1.1885e+05 1.6484e+06    75533       -1       -1
55778928 33.92244 34.89756 35.46983   76.37 -127.10   83.46   20.88   20.88 1.7845e+09 1.7845e+09 31.60282 4.38503 1.00000 1.118e+05 1.5759e+06    69491       -1       -1
