# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
40440170 35.21127 35.21127 35.21127  -31.25  124.41  122.32  157.99  157.99 1.0315e+12 1.0315e+12 263.28169 46.40729 1.00000 2.7597e+10 2.7597e+10 21080813       -1       -1
40434820 35.11658 35.03579 34.98797 -116.83   32.53  123.09    4.32    4.46 1.0118e+07 1.1489e+07 5.63521 0.50633 0.77420  6.9387  1269.9      757       -1       -1
40434839 35.14589 34.95542 35.00697  -62.37   18.64  117.93    3.34    3.29 1.4423e+06 1.9155e+06 2.94366 0.23694 0.52190 0.22261  101.22       90 40436236 40436236
40434845 35.19320 35.05182 35.10732  -86.03  106.93   67.65    4.02    4.70 2.0338e+06 8.4873e+06 3.30141 0.25138 0.36590  3.8797  828.12      361 40440170 40440170
40434877 35.07038 35.09146 34.95299 -127.82   20.54   51.70    3.48    3.61 5.9099e+06 6.1704e+06 4.71127 0.50413 0.86720  2.1036  527.95      451       -1       -1
40434881 35.13954 35.11441 34.94503  -80.04  -13.72  121.65    3.87    3.83 2.7183e+06 2.931e+06 3.63662 0.23802 0.70780 0.50376  184.54      180       -1       -1
40434890 35.09173 35.12690 34.91670  -39.60  124.24  118.79    4.16    6.20 2.1282e+06 1.1254e+07 3.35211 0.21108 0.21310  6.6686  1233.4      181       -1       -1
40434894 35.20100 35.21189 34.85900  -58.54   -2.46   69.05    3.25    3.14 3.0972e+06 3.3338e+06 3.79859 0.36512 0.84060 0.56003  199.49      171       -1       -1
40434898 35.16507 35.14473 34.83115 -139.95  119.61   66.12    5.16    5.67 1.0449e+07 1.3049e+07 5.69718 0.42075 0.66800  8.8611  1520.1      609       -1       -1
40434909 35.21772 35.13121 35.13275  -87.46   81.04  -16.57    5.13    6.29 5.6268e+06 1.8718e+07 4.63521 0.40572 0.26290  17.714  2529.9      709 40440170 40440170
40434911 35.22972 35.17237 35.12883  -93.69  114.84  -73.71    3.58    3.37 1.2056e+06 1.5606e+06 2.77324 0.23815 0.54850  0.1502  75.785       60 40440170 40440170
40434914 35.21959 35.10148 35.03744  -60.95  -43.39   88.33    3.17    3.78 9.9296e+05 6.5479e+06 2.60000 0.22312 0.45880  2.3576  574.12       58 40440170 40440170
40434915 35.16811 35.11396 35.18003 -125.40  -43.53  100.34    3.22    4.26 1.5366e+06 6.3352e+06 3.00704 0.33367 0.30280  2.2128  547.97       98 40440170 40440170
40434930 35.21059 35.17349 35.15661  -29.80  -34.55  110.00    6.12    8.54 5.1535e+06 5.0423e+07 4.50141 0.34228 0.27620  118.74   10251      260 40440170 40440170
40434936 35.21185 35.16934 35.16317 -189.66   -0.45    4.21    3.32    3.69 1.4183e+06 3.9014e+06 2.92817 0.40701 0.32930 0.87238  276.36       83 40437559 40440170
40434937 35.21865 35.17482 35.16289 -202.67   26.43   22.24    5.04    5.37 3.0972e+06 7.6592e+06 3.79859 0.29637 0.26290  3.1856  716.36      156 40437559 40440170
40434940 35.19513 35.15877 35.15614 -201.69   85.83  -11.61    6.65    7.08 8.5099e+06 1.8634e+07 5.31972 0.43467 0.28950  17.561  2513.8      448 40440170 40440170
40434949 34.96989 35.05570 35.01801  -98.63   99.14   79.07    4.35    5.67 1.0638e+07 3.4282e+07 5.73099 1.18473 0.69460  56.608  5945.3     1322       -1       -1
40434952 35.08332 35.09124 35.02194  -58.34  108.76    4.21    5.72    6.21 1.3546e+07 1.7972e+07 6.21127 0.54928 0.77420  16.382  2388.7      925 40440170 40440170
40434957 35.00293 35.14863 35.05400 -168.95   57.73   90.53    5.56    6.17 2.8254e+07 3.5155e+07 7.93662 0.65554 0.86720  59.409  6160.3     1635       -1       -1
40434962 35.04259 35.19038 35.13362 -139.98   88.88  107.19    3.07    3.02 7.0915e+05 1.2766e+06 2.32394 0.16203 0.47210 0.10214  57.073       51 40440170 40440170
