# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 8461163 35.21127 35.21127 35.21127   -7.41   74.37  -90.57  178.68  178.68 1.5577e+12 1.5577e+12 302.05634 47.72489 1.00000 3.8623e+10 3.8623e+10  5170434       -1       -1
 8455924 35.17825 34.90066 35.20613  -34.97  -12.31 -239.52    8.38    8.62 6.3352e+07 7.6211e+07 10.38732 1.64443 0.73440  262.44   18369      456       -1       -1
 8455926 35.08794 34.88577 35.12332  -70.30   44.45 -177.04   14.82   15.88 2.2394e+08 3.1451e+08 15.82254 1.28875 0.40570  3990.3 1.3593e+05     1624       -1       -1
 8455935 35.05623 34.99079 35.15855  -52.79  -49.49 -189.55    8.19    8.91 6.9592e+07 9.3803e+07 10.71831 1.23641 0.85390  391.03   24628      619  8461163  8461163
 8455976 35.01817 35.10215 35.18018 -112.21   49.00 -237.56   19.09   19.29 8.1479e+08 9.4803e+08 24.33662 2.78172 0.82740   33193 6.454e+05     6709  8461163  8461163
 8455980 35.09997 35.12344 35.23423  -70.45   21.02 -158.70   20.61   31.21 3.3817e+08 2.4887e+09 18.15352 1.46891 0.27620 2.1174e+05 2.5197e+06     2324  8460358  8461163
 8455984 35.06348 34.92004 35.05755   58.50    0.15 -191.70    9.60    9.65 3.4803e+07 5.8437e+07 8.50704 0.68836 0.39240  157.61   12625      242       -1       -1
 8455989 34.98006 34.93238 35.12655   -9.82   25.93 -193.35    8.91    9.53 5.1437e+07 1.0118e+08 9.69155 1.27160 0.40570  452.24   27408      370       -1       -1
 8456023 35.13623 34.87525 35.14849   21.12  -52.18 -181.36    9.55   10.05 4.8423e+07 8.6803e+07 9.49718 1.02541 0.48540  336.93   22074      368       -1       -1
 8456038 35.01024 34.93993 35.16282   26.03   -1.96 -193.16   10.48   10.58 6.7141e+07 1.0213e+08 10.59014 1.03778 0.56180  460.37   27770      677       -1       -1
 8456048 35.23565 34.93593 35.03854   -5.88   -2.86 -165.64   10.05   11.26 7.4887e+07 1.1801e+08 10.98310 1.17547 0.48540  607.67   34059      582  8459379  8459379
 8456083 35.04355 34.86046 35.15080   12.56  -78.44 -185.75    9.75   10.27 8.6239e+07 9.6451e+07 11.51268 1.14683 0.78750   412.5   25616     1791       -1       -1
 8456092 35.06334 35.04455 35.17530   -7.29  -50.88 -219.54   10.81   11.14 1.3825e+08 1.7634e+08 13.47324 1.62973 0.65470  1313.8   60048     1602  8461163  8461163
 8456100 35.20955 34.92134 35.13021   69.80    3.35 -242.57   10.29   11.33 5.8254e+07 1.4366e+08 10.10141 0.94554 0.54850  886.45   44960      361  8459379  8461163
 8456114 35.20563 35.12404 35.14756   53.41  -43.63 -202.85   11.19   14.03 4.9746e+07 1.3958e+08 9.58310 0.98776 0.22640  838.69   43166      747  8459392  8461163
 8456122 35.01754 34.76772 35.13887  -24.29  137.94 -113.87    9.35    9.50 2.2887e+07 4.993e+07 7.39718 0.68838 0.33930  116.52   10110      143       -1       -1
 8456156 35.00675 35.04804 35.21261  -53.03  129.02 -167.69    8.04    8.17 3.2535e+07 4.1606e+07 8.31831 0.86823 0.26290  82.098  7814.7      232  8461163  8461163
 8456164 35.12935 35.13394 35.23034 -109.35  141.87 -350.97    8.99    8.84 8.2451e+07 9.4563e+07 11.34085 1.91152 0.88050  397.14   24911      608  8460358  8461163
 8456172 35.14310 34.94801 35.18830  -21.77  157.68 -122.60    8.15   10.00 2.3634e+07 8.3775e+07 7.47887 0.49008 0.31610  314.73   20994      222  8461163  8461163
 8456185 35.07554 35.16120 35.13307  -83.26  179.44 -188.69   11.63   11.36 7.8296e+07 1.3938e+08 11.14789 0.87269 0.58830  836.42   43080      637  8456186  8461163
 8456186 35.07261 35.15800 35.13408  -98.80  152.72 -235.14   26.03   27.39 3.5958e+09 4.6634e+09 39.92254 8.94868 0.69460 7.0687e+05 6.1066e+06    26103  8461163  8461163
 8456187 35.06923 35.17256 35.12580  -98.55  144.95 -212.44   11.81   15.38 1.3882e+08 4.4859e+08 13.49155 1.70212 0.52190  7890.6 2.2441e+05      791  8456186  8461163
 8456188 35.10096 35.09765 35.21782 -126.02   85.47 -302.27   11.13   11.40 1.1139e+08 1.2842e+08 12.53803 1.09727 0.53520  714.74   38376      952  8461163  8461163
 8456208 35.11841 34.97886 35.12611  -81.45  277.08 -124.30   14.09   13.78 3.5915e+08 3.693e+08 18.52254 1.92569 0.60160  5431.5 1.7052e+05     2191  8459379  8461163
 8456217 35.13392 35.10231 35.24001 -167.09  258.68 -159.02   10.64   10.19 1.0969e+08 1.4169e+08 12.47324 1.33573 0.54850  863.24   44091      853  8461163  8461163
 8456222 35.04665 34.92418 35.09254    4.59  186.26 -126.52   10.94   10.83 4.4634e+07 6.5254e+07 9.24366 0.60513 0.35260   194.8   14753      261       -1       -1
 8456264 35.09963 34.94299 35.14521   54.01  148.37 -121.04    8.42    9.31 4.1225e+07 8.0944e+07 9.00141 1.05563 0.70780  294.62   20000      459  8461163  8461163
 8456277 35.14134 35.01361 35.11063   56.29   88.81 -269.82   10.39   10.78 9.7014e+07 1.5437e+08 11.97324 1.16903 0.53520  1017.6   49762     1169  8459379  8461163
 8456281 35.15827 35.15562 35.17715   11.22   70.18 -265.65   13.17   14.15 8.9648e+07 1.9437e+08 11.66197 1.31376 0.35260  1583.8   68895      593  8461163  8461163
 8456354 35.18593 34.88706 35.11955  -26.68  127.99  -81.47    9.36   10.32 4.9746e+07 7.5845e+07 9.58310 0.96587 0.45880  260.03   18244      394       -1       -1
 8456359 35.19199 34.93093 35.12280  -40.97  222.55  -74.51    8.65   16.70 2.7986e+07 3.8563e+08 7.91127 0.70726 0.35260  5902.2 1.8127e+05      160  8459379  8461163
 8456372 35.22568 35.06701 35.04293  -28.39  113.15  -37.40    8.19    9.52 3.9155e+07 7.0352e+07 8.84789 0.99332 0.58830  225.08   16407      345  8459379  8461163
 8456378 35.11645 35.07075 35.18420 -244.82  173.01  -26.18   11.14   10.65 1.2028e+08 1.3408e+08 12.86197 1.52054 0.47210  776.47   40787      949  8461163  8461163
 8456384 35.25859 34.99707 35.19449 -197.74   79.03   38.07   10.36   10.33 1.2652e+08 1.3258e+08 13.08169 1.25135 0.73440   759.8   40141     1004  8461163  8461163
 8456403 35.22652 34.89985 35.07041  -43.34  175.88  -49.72   13.91   26.48 1.4493e+08 1.8423e+09 13.68592 1.31156 0.30280 1.1885e+05 1.6484e+06     1077       -1       -1
 8456404 35.29180 34.91558 35.15458  -28.19  114.25  -89.43    9.60    9.99 4.0282e+07 6.9972e+07 8.93239 0.69741 0.50860  222.75   16282      370       -1       -1
 8456414 35.08694 35.13497 35.22852  -70.73  122.95  -51.73    8.12   15.66 1.7592e+07 2.0676e+08 6.77606 0.61715 0.18990  1783.4   75179      163  8460358  8461163
 8456417 35.27955 35.05717 35.08787  -76.59   15.43 -114.07    9.09   10.09 2.1746e+07 8.1324e+07 7.27324 0.49262 0.32930  297.29   20132      382  8461163  8461163
 8456423 35.21937 35.13197 35.13838 -165.58  138.35  -26.35   11.57   15.04 4.6141e+07 2.807e+08 9.34648 0.68043 0.32930  3207.7 1.1577e+05      845  8461163  8461163
 8456453 35.00185 34.97193 35.13515   19.66   42.38  -96.00    8.56   10.11 4.1606e+07 1.0837e+08 9.02958 1.19864 0.56180  515.89   30195      487       -1       -1
 8456457 34.88641 35.08192 35.13583   40.07   74.44  -80.88    8.83   10.54 2.3831e+07 5.3338e+07 7.49859 0.74147 0.30280  132.27   11098      171       -1       -1
 8456461 34.99979 35.04689 35.14282   76.97   51.30  -55.85   10.47   11.33 6.8465e+07 1.0194e+08 10.65915 1.28367 0.69460  458.79   27699      558  8461163  8461163
 8456474 35.12954 35.10752 35.21854  129.14    2.61   -7.38    8.16    9.20 2.2507e+07 5.938e+07 7.35634 0.61036 0.23970  162.54   12914      253  8461163  8461163
 8456492 35.13682 34.78746 35.09308  -31.73  149.94  -86.05   15.64   16.43 1.8634e+08 3.1268e+08 14.88169 1.35961 0.39240  3945.8 1.3481e+05     2082       -1       -1
 8456500 34.98630 34.99051 35.10210   33.43  143.82  -47.76   11.48   12.91 6.1845e+07 1.5732e+08 10.30423 0.96317 0.39240  1055.4   51113      502       -1       -1
 8456510 35.12737 35.12685 34.93800   99.91  115.12   35.53   10.33   10.00 7.8859e+07 8.1507e+07 11.17465 1.50073 0.57500  298.57   20196      473  8461163  8461163
 8456526 35.09558 35.14176 35.09897   78.25  223.58  -11.63    8.08   12.08 1.4366e+07 7.5085e+07 6.33521 0.57334 0.16330  255.04   17986       80  8461163  8461163
 8456529 35.08590 35.03692 35.21328  112.89  163.98  -22.28   10.40   11.32 5.8056e+07 1.1177e+08 10.09014 1.10584 0.32930  547.49   31545      742  8461163  8461163
 8456532 35.22970 34.97268 35.04815    7.79  205.13  -61.89   11.01   11.50 7.7915e+07 1.2899e+08 11.12958 1.13446 0.62820  720.77   38614      708  8459379  8461163
 8456533 35.18887 35.04177 35.06755   50.74  142.49  -43.88   16.70   17.92 3.3704e+08 6.307e+08 18.13380 2.08193 0.47210   15178 3.6304e+05     2477  8459379  8461163
 8456534 35.15614 35.07025 35.13548  109.81  180.56  -97.27   10.32   10.83 4.4817e+07 6.5634e+07 9.25634 0.72600 0.36590  196.99   14875      349  8461163  8461163
 8456539 35.14677 34.96465 35.18908    1.05  244.46  -94.96   14.70   22.72 1.1366e+08 9.1099e+08 12.62254 1.16258 0.30280   30748 6.1009e+05      690  8461163  8461163
 8456542 35.20090 35.14068 35.18817   19.88  355.31  -53.51    8.40   15.57 1.569e+07 1.8761e+08 6.52394 0.40336 0.17660  1479.8   65536       85  8461163  8461163
 8456556 35.05732 35.05365 35.32531 -163.00  -15.33 -200.48    8.61    8.71 5.1437e+07 5.5986e+07 9.69155 1.34889 0.78750  145.17   11884      402  8458424  8461163
 8456557 34.93024 35.02585 35.24085 -111.19   13.74 -199.90   10.62   10.98 1.4254e+08 1.6183e+08 13.61408 1.49231 0.69460  1114.2   53193     1781       -1       -1
 8456561 35.04677 35.02542 35.33883 -136.43   28.68 -201.41   12.67   12.23 2.5704e+08 2.8704e+08 16.56761 2.55915 0.77420  3348.2 1.1947e+05     2577  8458424  8461163
 8456594 35.09187 35.09851 35.34448 -144.86  -72.13 -200.94   10.12   10.23 1.6254e+08 1.8761e+08 14.21831 2.43889 0.84060  1479.8   65536     1374  8458424  8461163
 8456600 35.18146 35.13813 35.22462 -189.24  -43.87 -201.15    8.03    8.81 1.3239e+07 5.6732e+07 6.16479 0.45372 0.30280  148.91   12108      171  8458190  8461163
 8456603 35.08913 35.01589 35.45590 -179.94   42.07 -146.26   10.93   10.40 1.1687e+08 1.199e+08 12.73944 1.01443 0.80080  596.45   33595      675       -1       -1
