# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
15349406 35.21127 35.21127 35.21127  114.90  -86.36   13.20  207.29  207.29 2.2901e+12 2.2901e+12 343.43662 56.69484 1.00000 4.926e+10 4.926e+10  7262253       -1       -1
15357990 34.97924 34.51828 36.15197  186.82  -79.15  -77.83   87.53   87.53 1.5254e+11 1.5254e+11 139.22676 24.82778 1.00000 7.9538e+08 1.0754e+09   723625       -1       -1
15360366 36.24494 35.58080 35.57273   28.79  -21.00   22.24   80.06   80.06 1.0531e+11 1.0531e+11 123.05211 14.41121 1.00000 3.117e+08 5.1316e+08   459216       -1       -1
15362565 34.65407 34.73393 34.98721  210.04  -36.07   85.92   72.78   72.78 6.6507e+10 6.6507e+10 105.57183 15.19030 1.00000 1.149e+08 2.442e+08   332435       -1       -1
15346905 35.26569 34.83932 35.34907  154.52   21.69 -127.54   60.01   60.01 5.1366e+10 5.1366e+10 96.86479 12.34824 1.00000 6.9372e+07 1.7013e+08   252545       -1       -1
15346649 35.00228 35.03328 35.48744  202.10   38.34 -124.52   52.76   52.76 3.8732e+10 3.8732e+10 88.16620 17.89558 1.00000 4.0541e+07 1.1603e+08   213832       -1       -1
15365045 36.26907 35.95996 36.19286  174.46  -98.45  -53.16   46.80   46.80 2.8225e+10 2.8225e+10 79.33662 13.55644 1.00000 2.2227e+07 7.5425e+07   120726       -1       -1
15357685 35.10794 34.30875 36.15261  169.86  -96.54  -25.75   52.31   51.97 2.3704e+10 2.4704e+10 74.84648 9.40532 0.78750 1.5937e+07 5.9341e+07   123998       -1       -1
15399797 36.40941 34.90713 35.80600   39.31   -7.01   53.04   37.75   38.34 2.131e+10 2.3268e+10 72.24789 33.86042 0.92030 1.3006e+07 5.1229e+07    77224       -1       -1
15453759 35.79145 34.29625 33.96797   30.17  -44.95   78.78   41.60   40.89 1.7451e+10 1.831e+10 67.58169 9.49375 0.80080 8.8772e+06 3.8835e+07    89710       -1       -1
15345968 34.85418 35.04058 35.48169  180.83   -2.61  -21.16   47.57   57.29 1.2854e+10 3.0972e+10 61.03944 7.85978 0.58830 2.652e+07 8.5631e+07   102753       -1       -1
15349153 35.41948 35.11407 35.11859  104.11 -131.59   72.74   51.15   75.73 1.2155e+10 8.5732e+10 59.91127 7.24242 0.53520 1.9513e+08 3.6e+08   159091 15349406 15349406
15419873 35.13542 34.68680 34.62903  211.54  -22.20   83.90   41.21   41.41 1.2041e+10 1.268e+10 59.72535 7.86476 0.69460 4.3617e+06 2.3146e+07    67559       -1       -1
15417010 36.21854 34.69597 35.64076   28.47   -9.26   78.17   38.43   38.43 1.0666e+10 1.0666e+10 57.35915 5.34177 1.00000 3.4572e+06 1.9533e+07    47985       -1       -1
15344756 35.24859 35.38123 34.89244   95.97   76.53   67.05   37.82   39.27 9.6028e+09 1.0883e+10 55.38592 10.70235 0.74770 3.5933e+06 2.0092e+07    61677       -1       -1
15419779 35.49338 34.16603 35.08915   47.75    3.01   55.70   38.09   38.09 9.4662e+09 9.4662e+09 55.12254 7.48567 1.00000 2.75e+06 1.6524e+07    51028       -1       -1
15347272 35.10276 35.09738 35.19489   62.81 -264.99   92.04   47.47   62.97 9.2028e+09 3.4662e+10 54.60423 4.50337 0.61490 3.2841e+07 9.9811e+07   136307 15349406 15349406
15399583 36.62225 35.06600 35.89082   24.37  -14.94   35.39   31.97   33.05 8.8423e+09 1.3158e+10 53.88310 6.82619 0.89380 2.4129e+06 1.5016e+07    43404       -1       -1
15350331 35.31849 34.98317 35.23373  164.07  -37.60   68.10   46.40   57.33 7.6915e+09 2.5352e+10 51.43521 5.76984 0.52190 1.8116e+07 6.5093e+07   130670 15349406 15349406
15348731 35.65752 35.45300 34.95928  161.07 -122.33   68.66   34.88   44.12 6.1169e+09 1.5197e+10 47.65493 8.24312 0.58830 6.8131e+06 3.2037e+07    65469       -1       -1
15347814 35.21899 34.84624 34.80510  180.21  -54.04   88.07   40.21   43.10 5.9366e+09 8.7e+09 47.18169 3.92521 0.45880 2.339e+06 1.4678e+07    39167       -1       -1
15416007 34.58406 34.51397 36.59746  145.42  -38.57  -60.63   27.68   27.68 5.5606e+09 5.5606e+09 46.16479 16.08604 1.00000 9.9086e+05 7.8235e+06    25499       -1       -1
15345525 35.05642 34.97641 35.19317  218.02 -262.47  -13.13   31.46   32.15 5.4225e+09 6.3958e+09 45.77746 4.71053 0.81410 1.2961e+06 9.526e+06    38027 15349406 15349406
15417259 36.02430 34.05592 35.43418   33.09  -20.05   68.85   30.92   30.87 5.4042e+09 5.5197e+09 45.72676 4.75866 0.94690 9.3808e+05 7.5156e+06    27325       -1       -1
15346569 34.92854 35.19510 35.39713  262.46   24.29  -95.70   29.73   29.19 4.5859e+09 4.6845e+09 43.29296 4.91215 0.77420 7.1303e+05 6.1456e+06    31779 15349406 15349406
15400775 36.09920 35.76411 35.19630   91.46 -136.88   53.18   31.65   31.65 4.5352e+09 4.5352e+09 43.12958 4.39509 1.00000 6.7005e+05 5.8715e+06    23941       -1       -1
15348076 34.89266 35.36307 35.05438  151.68  -18.92  -11.47   32.61   34.84 4.2831e+09 8.2507e+09 42.31690 5.80571 0.54850 2.1128e+06 1.3625e+07    45746       -1       -1
15399557 36.60403 35.09158 35.97500   32.72    0.14   63.03   27.64   27.69 4.1042e+09 4.1577e+09 41.72113 3.87581 0.97340 5.5318e+05 5.101e+06    23322       -1       -1
15419596 35.32583 34.71632 34.81248  192.07   -5.97   96.01   27.24   26.89 3.8958e+09 3.9028e+09 41.00282 5.33165 0.57500 5.0051e+05 4.7397e+06    20901       -1       -1
15418952 34.62677 34.45207 36.29473  242.05 -138.64  -48.84   26.90   26.90 3.8028e+09 3.8028e+09 40.67183 4.80509 1.00000 4.7783e+05 4.5811e+06    22679       -1       -1
15342838 35.18735 35.25385 35.34848  -79.15   85.96 -146.43   28.26   28.09 3.7423e+09 4.0507e+09 40.45634 7.38977 0.86720 5.3941e+05 5.0075e+06    24334 15349406 15349406
15357882 34.74818 34.49027 36.16320  263.24 -130.53  -26.23   23.07   23.37 3.6211e+09 3.8451e+09 40.01549 7.59068 0.96020 4.3497e+05 4.2757e+06    16892       -1       -1
15365041 36.26766 35.93061 36.16483  129.78  -93.79  -46.68   31.46   32.89 3.6028e+09 4.9803e+09 39.94507 4.06883 0.58830 4.3076e+05 4.2452e+06    21309 15365045 15365045
15347679 34.73372 35.26637 35.31568  167.79  -82.54   81.40   31.17   34.07 3.5746e+09 6.8648e+09 39.84366 3.87827 0.57500 1.4846e+06 1.0523e+07    28685       -1       -1
15342970 34.87359 35.19286 34.93372    3.90  -39.56   64.71   28.02   29.94 3.5028e+09 4.9648e+09 39.57183 7.74397 0.60160 7.9716e+05 6.6697e+06    30942       -1       -1
