# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
10252711 35.21127 35.21127 35.21127   11.24   11.37  -98.31  170.09  170.09 1.9225e+12 1.9225e+12 323.99437 73.85493 1.00000 4.4418e+10 4.4418e+10  5483276       -1       -1
10244933 35.13631 35.17106 34.94204  -53.43  -42.61 -217.17    8.11    9.67 3.9155e+07 7.5465e+07 8.84789 1.17549 0.48540  257.53   18115      364 10252711 10252711
10244952 35.00335 35.15130 35.07931 -187.97  -91.37 -172.14   14.39   17.09 2.4718e+08 5.5296e+08 16.35352 1.75947 0.49870   11790 3.0151e+05     2194 10252711 10252711
10244963 35.11375 35.11741 35.12239 -158.34  -84.80 -105.86    9.49   11.74 2.7986e+07 1.3428e+08 7.91127 0.80339 0.32930  778.66   40872      177 10252711 10252711
10244967 35.13754 35.14693 35.09824 -122.50 -183.75 -255.06    8.24    9.06 4.5775e+07 1.0004e+08 9.32113 1.00755 0.56180   442.5   26973      365 10252711 10252711
10244979 35.18663 35.10956 35.17851 -120.93 -210.17 -131.10    8.50   11.86 3.4423e+07 1.2313e+08 8.47606 1.21685 0.40570  659.23   36161      226 10252711 10252711
10244982 35.18941 35.13054 35.13527   24.90 -187.23 -189.42    8.20    8.77 1.5127e+07 5.0873e+07 6.44507 0.59309 0.35260  120.79   10381      105 10252711 10252711
10244995 35.14270 35.19508 35.18073 -103.78  -59.15 -261.21    8.67   11.73 1.6268e+07 1.3296e+08 6.60141 0.60545 0.25000  763.99   40304      119 10245368 10252711
10244997 35.22106 35.14511 35.13673  -15.69  -65.81 -291.97    9.13   10.63 1.7014e+07 5.5789e+07 6.70282 0.47869 0.28950  144.19   11825      107 10252711 10252711
10244998 35.16104 35.17800 35.15979    1.77  -97.13 -352.03    8.28   11.07 2.7606e+07 1.5394e+08 7.87606 1.03124 0.43230  1012.3   49570      365 10252711 10252711
10245021 35.06432 35.13752 35.22710 -173.47  -56.58  -98.59   19.26   32.31 7.3817e+08 3.6789e+09 23.54930 2.23307 0.44560 4.4839e+05 4.3721e+06     9959 10246533 10252711
10245024 35.18239 35.08804 35.10113  -62.23  -98.53 -219.42    8.73   10.81 1.7211e+07 8.7746e+07 6.72817 0.50126 0.23970     344   22413      136 10251896 10252711
10245027 35.15221 35.19972 35.08038  -70.54    4.67 -128.33    9.38   13.73 2.8563e+07 1.9845e+08 7.96479 0.69317 0.30280  1648.4   70949      198 10252665 10252711
10245043 35.20161 35.16320 35.10193  -12.54 -112.87 -158.01   18.45   22.62 1.6944e+08 8.0014e+08 14.41972 1.34252 0.30280   23968 5.0799e+05      972 10252711 10252711
