# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 8517720 35.21127 35.21127 35.21127   38.67 -173.55  -22.79  179.71  179.71 1.3017e+12 1.3017e+12 284.51268 29.28321 1.00000 3.3741e+10 3.3741e+10  4241909       -1       -1
 8513612 35.08034 35.15977 35.02608   40.48 -283.79  -63.90    9.70   10.31 1.0231e+08 1.4986e+08 12.18732 1.47935 0.70780  961.32   47723      983  8517720  8517720
 8513644 35.08706 34.95365 35.08951   10.86 -107.46  -72.34   32.60   34.12 3.5296e+09 5.0507e+09 39.67183 5.63383 0.61490 8.2385e+05 6.8328e+06    20864       -1       -1
 8513648 35.16386 35.18628 35.16154 -113.45  -67.14 -155.54    8.51   11.79 2.269e+07 1.2142e+08 7.37746 0.61791 0.35260  641.82   35456      142  8517720  8517720
 8513684 34.89727 35.14011 35.09337  -41.41 -125.29   21.15    8.16   10.92 7.1113e+07 2.3634e+08 10.79577 1.67489 0.72110  2305.4   90800      895       -1       -1
 8513686 34.86544 35.16317 35.13351  -10.14 -120.10   33.03    8.14    8.40 4.0845e+07 5.4465e+07 8.97465 1.04429 0.57500  137.69   11430      729       -1       -1
 8513702 35.12796 35.16544 35.16534   -4.02   65.78  -34.88    8.01    8.01 2.3831e+07 3.8014e+07 7.49859 0.46957 0.50860  69.032  6879.4      379  8517720  8517720
 8513716 35.12861 35.15482 35.19793   54.85 -236.28 -143.95   12.19   13.59 5.2958e+07 1.7141e+08 9.78451 0.75056 0.31610  1244.2   57692      311  8517720  8517720
 8513717 35.14738 35.19961 35.20635  205.72 -192.63 -208.92   11.57   12.83 4.6521e+07 1.9465e+08 9.37183 0.62603 0.35260  1588.2   69036      277  8517720  8517720
 8513746 34.93817 35.11485 35.10207  133.60 -181.15   37.19    9.71    9.30 3.5746e+07 5.3338e+07 8.58310 0.69856 0.49870  132.27   11098      408       -1       -1
 8513773 35.06434 35.08808 35.10332  116.54  -59.62   62.02   14.25   17.50 1.9972e+08 7.3746e+08 15.23099 1.12197 0.54850   20494 4.5273e+05     1181  8517720  8517720
 8513779 35.11683 35.06539 35.07213   61.70  -54.67  -44.49    8.77    8.77 2.269e+07 5.3718e+07 7.37746 0.54972 0.44560  134.09   11210      485  8517720  8517720
 8513781 35.10408 35.15213 35.11913   86.49  -20.32  -10.75    8.69   10.22 1.9859e+07 7.0549e+07 7.05634 0.81901 0.22640  226.29   16472      348  8517720  8517720
 8513785 35.13463 35.04218 35.03299   67.56 -126.87  137.31    9.05    9.59 9.9859e+07 1.0062e+08 12.08873 1.22141 0.86720  447.41   27193      575  8517720  8517720
 8513818 35.10134 35.38623 34.93756   15.73 -201.85  -93.47    8.36    8.17 3.0254e+07 3.9521e+07 8.11972 1.05801 0.73440  74.382  7267.6      234       -1       -1
 8513860 35.12218 35.25497 35.12718  -21.80 -145.01  -92.39   12.68   20.24 7.338e+07 4.3606e+08 10.90845 1.15411 0.27620  7472.7 2.1561e+05      840  8517720  8517720
 8513878 35.03900 35.35882 35.03370  -60.04 -176.72  -81.35   11.39   11.98 9.0394e+07 1.3561e+08 11.69437 1.24815 0.78750  793.47   41442      964       -1       -1
 8513882 35.09004 35.28555 35.00425  -14.48  -94.70 -106.62    8.05   10.15 7.2239e+07 1.4239e+08 10.85211 1.92036 0.81410  871.49   44401      742  8517720  8517720
 8513890 35.09949 35.35345 35.13962  -89.54 -144.52 -134.33    8.87    9.40 7.1676e+07 1.1725e+08 10.82394 1.26083 0.72110  600.18   33750      900  8517720  8517720
 8513908 35.14910 35.48376 35.18427   -3.24 -162.04  -92.63    8.02    8.63 3.4606e+07 4.6901e+07 8.49155 0.79631 0.49870  103.33  9255.1      295  8517720  8517720
 8513921 34.87035 35.31697 35.06900   37.55 -215.67  113.94    8.45    8.45 7.0352e+07 7.2437e+07 10.75634 0.96861 0.81410  225.08   16407      477       -1       -1
 8513926 34.91808 35.36315 35.04306    5.73 -232.50  113.77   13.83   14.06 5.1958e+08 5.2042e+08 20.94789 2.62943 0.98670   10462 2.7613e+05     3709       -1       -1
 8513939 35.00718 35.43545 34.88269   36.45 -214.72   27.27    8.43   11.01 5.1634e+07 1.5042e+08 9.70282 1.19100 0.58830  968.28   47976      422       -1       -1
 8513941 35.13235 35.40887 34.84163   18.58 -171.38   23.62    9.48   10.23 5.4282e+07 1.0496e+08 9.86620 1.04181 0.65470  485.18   28863      702       -1       -1
