# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 7473257 35.21127 35.21127 35.21127   30.10 -122.53    7.77  171.97  171.97 1.5296e+12 1.5296e+12 300.22958 82.25695 1.00000 3.8123e+10 3.8123e+10  5085183       -1       -1
 7466587 35.29027 34.59406 34.48997  -35.40  -85.76  105.75    8.77    9.11 8.3028e+07 8.5296e+07 11.36761 1.69063 0.93360  309.36   20731      586  7467464  7467464
 7466595 35.23199 34.81975 34.24265  -52.81   -8.11  102.01   10.04    9.70 1.4052e+08 1.4352e+08 13.54648 1.65316 0.88050  849.61   43579      969       -1       -1
 7466631 35.18917 34.78986 34.43042  -30.66  -71.22   33.58    8.44    9.56 4.8986e+07 6.1085e+07 9.53380 1.35903 0.23970  112.33  9841.2      327       -1       -1
 7466632 35.17461 34.81810 34.45993  -16.06  -43.74   49.12    8.22    9.58 2.7606e+07 5.731e+07 7.87606 0.86623 0.30280  37.349  4378.8      165       -1       -1
 7466635 35.17914 34.79148 34.46838  -29.85  -44.83   38.72   19.27   19.15 8.1282e+08 1.0738e+09 24.31831 2.30969 0.39240   24702 5.1938e+05     6735       -1       -1
 7466646 35.34810 34.71380 34.49854  -23.00  -78.28   -2.45    9.73   13.94 4.8042e+07 2.4169e+08 9.47183 1.13367 0.26290  108.21  9574.6      295  7467402  7467464
 7466652 35.36741 34.80044 34.49028   34.33 -202.09  139.33   10.33   12.44 5.2577e+07 1.3976e+08 9.76197 0.99836 0.39240  128.67   10875      308  7467402  7467464
 7466678 35.31904 34.72662 34.50655  -91.09  -61.67   82.19   10.92   11.22 9.0775e+07 1.6648e+08 11.71127 1.47431 0.57500  367.16   23513      745  7467402  7467464
 7466685 35.45346 34.61017 34.47407   -4.88  -75.18  109.62   11.54   11.69 1.8831e+08 2.0958e+08 14.93662 2.03463 0.68130  1490.4   65884     1208       -1       -1
 7466720 35.33563 34.76244 34.46742  -58.98   19.21  107.37   15.95   16.93 3.2789e+08 5.2408e+08 17.96901 2.56252 0.32930  4322.6 1.4416e+05     2427  7467345  7467464
 7466760 35.45942 34.71989 34.42027   24.09 -113.56  217.74   10.30   10.05 1.2331e+08 1.5775e+08 12.96901 1.31230 0.81410  661.11   36237      994  7467464  7467464
 7466763 35.48356 34.71448 34.40354   34.73 -130.83  210.19   11.10   10.90 1.9761e+08 2.0803e+08 15.17746 1.98772 0.86720  1634.9   70522     1377       -1       -1
 7466768 35.23724 34.58914 34.45910   41.56  -55.87  197.71    9.67   10.82 7.8479e+07 1.2123e+08 11.15634 1.51266 0.30280  277.64   19145      444       -1       -1
 7466773 35.29946 34.66383 34.51359   13.88  -30.94  212.91    9.46   10.49 2.3831e+07 6.0901e+07 7.49859 0.46375 0.33930  28.162  3557.9      166  7467464  7467464
 7466782 35.30308 34.78114 34.34372   41.59 -172.28  190.36    8.76    8.89 5.4085e+07 5.7873e+07 9.85493 1.01791 0.45880  135.85   11318      313       -1       -1
 7466809 35.33034 34.82392 34.21152  -54.10 -115.73  137.46   11.31   11.83 2.2394e+08 2.4366e+08 15.82254 2.25559 0.94690  2078.9   84149     1407  7466810  7466810
 7466810 35.33146 34.81730 34.22013  -44.31 -107.32  150.26   14.26   14.12 8.7268e+08 8.8592e+08 24.90000 12.22393 0.96020   28313 5.7419e+05     3824       -1       -1
 7466811 35.34772 34.80123 34.25814  -55.53  -95.12  147.76   11.16   10.75 2.0915e+08 2.0958e+08 15.46761 1.77802 0.92030  1823.3   76411     1405       -1       -1
 7466817 35.25438 34.83279 34.29694  -38.47 -127.45  161.17   16.12   16.11 8.7493e+08 8.7507e+08 24.92113 4.47563 0.98670   28454 5.7628e+05     5311       -1       -1
 7466820 35.39482 34.81761 34.35496  -14.00 -103.70  153.88   10.07    9.97 5.8817e+07 7.4887e+07 10.13380 0.77856 0.53520  159.59   12741      353       -1       -1
 7466827 35.33966 34.76162 34.38559    3.72  -79.70  214.46    9.79   11.12 5.2577e+07 1.3428e+08 9.76197 0.91626 0.32930  128.67   10875      297  7467464  7467464
 7466831 35.38449 34.72372 34.44252  -14.27 -166.50  151.04    8.43   11.34 2.1366e+07 1.1139e+08 7.23099 0.62897 0.30280  22.837  3049.6      177  7467402  7467464
 7466848 35.21915 34.60307 34.35949  136.89 -101.54  133.28    9.95    9.95 1.9718e+08 1.9718e+08 15.16901 2.40777 1.00000  1628.2   70309     1271       -1       -1
 7466873 35.38303 34.63313 34.43166   21.24 -119.46  138.35   11.91   13.08 9.0775e+07 2.7465e+08 11.71127 0.99235 0.45880  367.16   23513     1032  7467464  7467464
 7466888 35.31921 34.79117 34.41808   72.50 -153.74   95.86   13.44   13.39 2.2521e+08 2.8042e+08 15.85493 1.83784 0.78750  2101.5   84823     1695  7467402  7467464
 7466903 35.12583 34.65196 34.49962   60.07  -49.82  135.34   15.58   15.29 4.6451e+08 5.2366e+08 20.18028 2.20196 0.76100  8436.9 2.3573e+05     2843       -1       -1
 7466916 35.20331 34.65935 34.37539   55.95  -86.11  189.50    8.19    8.18 6.1085e+07 6.8268e+07 10.26197 1.01804 0.72110  171.61   13440      370       -1       -1
 7466927 35.20413 34.62307 34.51542   84.13  -25.02  165.07    9.20    8.73 7.8676e+07 8.4535e+07 11.16479 1.10577 0.72110  278.98   19213      660       -1       -1
 7466940 35.27770 34.60731 34.43746  121.58  -19.14  101.58    9.20    9.18 6.6761e+07 6.6944e+07 10.57042 1.31591 0.97340  203.53   15237      485  7467464  7467464
 7466958 35.40562 34.66127 34.44285   83.26  -40.69  204.78    8.60    8.57 6.0901e+07 6.4873e+07 10.25211 1.28665 0.92030  170.63   13383      413  7467464  7467464
 7466990 35.16242 34.87703 34.45930   78.75  -79.68  127.69   11.52   10.84 2.4986e+08 3.0338e+08 16.41127 1.36767 0.68130  2565.3   98220     1590       -1       -1
 7467021 35.34711 34.79449 34.44280    8.31 -155.64  201.52   11.94   12.10 9.1155e+07 2.1127e+08 11.72676 1.26180 0.43230  370.11   23652      995  7467402  7467464
 7467061 35.25815 34.72061 34.58886  150.98 -117.58  134.22   10.31   10.10 6.1465e+07 8.9831e+07 10.28310 0.63470 0.52190  173.67   13558      470  7467464  7467464
 7467080 35.21207 34.66720 34.48372   82.66  -66.93  159.33    8.76    9.17 9.2296e+07 1.1063e+08 11.77606 2.14034 0.62820  379.06   24071      975  7467464  7467464
 7467084 35.23970 34.71182 34.49131  110.52  -65.88  178.79    9.48    8.44 7.3e+07 9.6831e+07 10.89014 0.76941 0.53520  241.62   17285      891  7467464  7467464
 7467088 35.12500 34.79520 34.55093  -52.51  -19.94   64.72   18.01   18.31 7.6451e+08 7.669e+08 23.82535 3.16109 0.94690   21961 4.7634e+05     4287       -1       -1
 7467107 35.36308 34.65692 34.54061   -8.62  -62.77   67.51   13.67   14.21 1.5901e+08 1.9718e+08 14.11831 1.65300 0.52190  1077.2   51891      921  7467112  7467464
 7467112 35.35431 34.67242 34.57152    9.55  -62.20   70.91   25.24   25.23 2.9352e+09 2.9972e+09 37.30704 6.43912 0.90700 2.9065e+05 3.1799e+06    15872  7467464  7467464
 7467114 35.36937 34.67008 34.57156   28.84  -43.81   83.09    9.44   10.68 6.2028e+07 1.1158e+08 10.31549 1.27780 0.45880  176.74   13734      368  7467112  7467464
 7467129 35.44169 34.60980 34.63692   34.10    0.66   70.08   12.07   12.10 3.0563e+08 3.0634e+08 17.55211 4.19098 0.98670    3777 1.3054e+05     1827       -1       -1
 7467131 35.41846 34.69785 34.66792   51.84  -55.59   90.18    8.23    8.06 4.8042e+07 5.5408e+07 9.47183 0.90142 0.50860  108.21  9574.6      298       -1       -1
 7467164 35.42455 34.63196 34.58144  -33.24 -149.55  114.98    8.60    8.15 1.3296e+08 1.4944e+08 13.30000 2.28817 0.74770  763.99   40304      869       -1       -1
 7467176 35.34458 34.72856 34.56580  112.95 -123.20   74.20   11.49   12.06 9.8915e+07 1.6944e+08 12.05070 1.21355 0.44560  432.98   26545      872  7467402  7467464
 7467187 35.31390 34.74344 34.62004   -9.37  -57.61  101.23    9.66   11.26 6.2606e+07 1.2539e+08 10.34648 1.01207 0.35260  179.91   13915      356  7467464  7467464
 7467224 35.36037 34.79320 34.54400  118.89  -73.37   86.72   11.50   11.61 1.5775e+08 1.6563e+08 14.07887 1.40940 0.86720  1060.8   51307     1322  7467402  7467464
 7467226 35.27077 34.75990 34.55342  134.79 -102.04  180.53    8.72    9.37 7.2239e+07 1.182e+08 10.85211 1.38097 0.81410  236.81   17032      688  7467464  7467464
 7467227 35.47852 34.83032 34.57999   25.43 -128.18  129.32   16.96   17.36 5.7817e+08 7.4662e+08 21.70704 3.50288 0.57500   12844 3.211e+05     3172       -1       -1
