# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 7568489 35.21127 35.21127 35.21127   22.66 -170.71   18.82  203.48  203.48 1.8648e+12 1.8648e+12 320.76338 53.30504 1.00000 4.3575e+10 4.3575e+10  5549752       -1       -1
 7561921 34.38600 35.13251 35.21408  111.78 -250.88   -4.06    9.18    9.08 1.0251e+08 1.0307e+08 12.19437 1.55371 0.98670  463.67   27916      592       -1       -1
 7561964 34.63448 35.12965 35.20213  132.18 -192.93  -93.36    8.20    8.49 5.069e+07 5.1634e+07 9.64366 1.30789 0.77420  119.95   10328      435       -1       -1
 7561984 34.42711 35.04992 35.26489  128.74 -236.32   13.64    9.17   10.80 2.8183e+07 1.1687e+08 7.92958 0.70686 0.37920  38.863  4508.7      155  7562029  7562029
 7561985 34.47145 34.97975 35.23189   99.70 -285.06   17.95    8.23    9.34 5.3521e+07 8.1507e+07 9.81972 1.11577 0.48540  133.15   11152      442  7562029  7562029
 7561996 34.50404 35.00131 35.25521  128.22 -248.66   20.40    8.69   13.69 2.5718e+07 2.2239e+08 7.69155 0.75385 0.33930    32.6  3962.2      224  7562029  7562029
 7561998 34.39001 34.99390 35.29628  109.38 -229.72   27.52   14.01   14.24 1.6127e+08 2.431e+08 14.18451 1.19730 0.57500  1106.7   52932      931       -1       -1
 7562007 34.45215 35.09439 35.23797  108.20 -255.79   11.50    8.38    8.30 2.062e+07 3.8775e+07 7.14507 0.47543 0.33930   21.33  2900.3      113       -1       -1
 7562008 34.41369 35.07814 35.21006  111.33 -222.51   24.87    8.23    8.77 3.3099e+07 4.7282e+07 8.36620 0.68428 0.52190  52.917  5657.7      225       -1       -1
 7562013 34.39141 35.08734 35.29565  104.86 -243.83   34.78    8.36    8.81 3.4042e+07 8.0761e+07 8.44507 0.69907 0.49870  55.851  5886.8      203       -1       -1
 7562020 34.55117 35.01037 35.22876  117.23 -236.59   42.51   16.11   17.84 3.7944e+08 7.6958e+08 18.86338 2.64236 0.73440  5721.4 1.7717e+05     2709       -1       -1
 7562028 34.48387 35.03655 35.25601  110.23 -263.36  -13.63   17.05   27.25 3.4225e+08 5.5155e+09 18.22817 1.52160 0.62820  4693.6 1.5316e+05     3301  7562029  7562029
 7562029 34.48742 35.03861 35.25992  110.37 -239.14   27.37   41.97   41.95 1.8e+10 1.9803e+10 68.28310 7.33686 0.76100 9.4194e+06 4.0544e+07    97944       -1       -1
 7562045 34.72228 35.05597 35.21701  145.26 -170.71   80.85    8.50    9.22 2.6282e+07 4.1225e+07 7.74789 0.68609 0.23970  80.663    7714      194       -1       -1
 7562046 34.62875 35.00297 35.25087  116.13 -138.99   82.59   10.46   10.59 5.6549e+07 8.3211e+07 10.00141 0.74375 0.32930  310.68   20795      404       -1       -1
 7562060 34.95597 35.00480 35.06658    7.06 -189.34    4.27   10.20   12.96 3.3099e+07 1.1801e+08 8.36620 0.69527 0.26290  607.67   34059      340       -1       -1
 7562062 35.03520 35.14504 34.87415 -101.69 -225.73   -2.07    8.30    9.00 9.7211e+07 1.2048e+08 11.98169 1.51254 0.73440  632.28   35068      938       -1       -1
 7562063 35.04789 35.02106 34.94399  -19.34 -179.83  -47.52   10.69   11.54 7.9803e+07 1.5789e+08 11.21831 1.10410 0.60160  1062.6   51372      710       -1       -1
