# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 6592078 35.21127 35.21127 35.21127  -49.17   95.52  -41.73  163.45  171.84 1.2168e+12 1.3315e+12 278.18028 48.79879 0.74770 3.1933e+10 3.1933e+10  4501707       -1       -1
 6586078 35.07577 35.29389 34.94524 -101.02   38.52 -148.18    8.17    7.59 4.0282e+07 4.7465e+07 8.93239 1.13364 0.61490  105.73  9412.5      260       -1       -1
 6586079 35.06501 35.29886 34.91115 -111.39   42.31 -145.48    8.63    9.38 4.8423e+07 9.9859e+07 9.49718 1.14564 0.37920  440.94   26903      290  6586080  6586080
 6586080 35.07523 35.29611 34.91651 -100.55   59.50 -126.82   19.98   20.96 9.1493e+08 1.2717e+09 25.29718 2.31709 0.78750   58339 9.7698e+05     7618       -1       -1
 6586083 35.17232 35.19983 35.15451 -183.42 -107.32  -79.11    8.83   11.47 1.9296e+07 5.7493e+07 6.98873 0.54285 0.21310  152.76   12338      125  6592078  6592078
 6586085 35.14689 35.35534 35.17444  -92.40  -57.48  -88.38   10.98   15.08 3.8014e+07 1.8465e+08 8.76197 0.72855 0.23970  1435.3   64082      212  6592078  6592078
 6586094 35.12683 35.18115 35.06690  -94.86   16.63 -118.17    9.44    9.96 2.7423e+07 6.4676e+07 7.85775 0.52005 0.33930  191.51   14569      192  6592078  6592078
 6586106 34.90461 34.99234 35.13863 -118.50   61.83   87.08    8.32    8.36 3.007e+07 4.3873e+07 8.10282 0.72784 0.37920  44.014  4940.9      174       -1       -1
 6586110 34.99373 35.02579 35.04389 -148.36   67.99   79.55    9.64   14.05 5.3521e+07 2.5606e+08 9.81972 1.04185 0.39240  133.15   11152      346       -1       -1
 6586121 35.05677 35.11225 35.06066 -176.58   28.83   68.62   18.19   18.69 6.5268e+08 7.007e+08 22.60282 2.56061 0.78750   18577 4.212e+05     4553  6592078  6592078
 6586132 35.23137 35.12466 35.12124 -141.55  -22.00  -68.31   12.61   15.40 1.1139e+08 3.138e+08 12.53803 1.90845 0.39240  3973.2 1.355e+05     1122  6592078  6592078
 6586150 35.09211 35.31820 34.89435  -76.00   50.28   -6.26    8.38    7.63 3.2718e+07 5.938e+07 8.33380 0.67187 0.65470  162.54   12914      485       -1       -1
 6586156 35.14827 35.24866 35.18958  -63.97  -38.90   13.32   13.73   18.96 6.2028e+07 4.1535e+08 10.31549 0.84957 0.22640  6806.4 2.013e+05      336  6592078  6592078
 6586173 35.13808 35.24506 35.05272 -100.69   85.13  -32.86   11.05   16.16 4.2746e+07 4.9155e+08 9.11127 0.74583 0.31610  9405.1 2.5534e+05      392  6592078  6592078
 6586191 35.14075 35.30662 35.06994  -97.90   68.11   86.30    8.70   10.52 3.0451e+07 9.1915e+07 8.13662 0.95606 0.31610  376.07   23932      708  6592078  6592078
 6586192 35.14130 35.31299 35.05741 -100.46   79.02   77.87    8.88    9.16 2.3831e+07 5.7493e+07 7.49859 0.35092 0.28950  152.76   12338      243  6592078  6592078
 6586193 35.16586 35.28713 35.08086 -114.28   68.43  117.93   12.58   14.98 7.962e+07 1.7197e+08 11.20986 1.00276 0.30280  1252.1   57960     1101  6592078  6592078
 6586203 35.14249 35.10296 35.19054 -205.62   22.43 -202.41   11.28   11.02 1.3637e+08 1.6944e+08 13.41127 1.68889 0.84060  1216.9   56757     1071  6592078  6592078
 6586227 35.08265 35.21404 35.23200 -206.89   35.84  -30.12   11.88   18.50 7.7352e+07 5.4915e+08 11.10282 0.95609 0.32930   11635 2.9858e+05      557  6592078  6592078
 6586246 35.15239 35.24976 35.20024 -129.92  -16.09 -105.30    9.61    8.76 2.062e+07 4.2169e+07 7.14507 0.66030 0.64140  84.245  7964.5      118  6592078  6592078
 6586249 35.13377 35.23525 35.20823  -92.16    4.02 -197.93   10.65   11.07 3.4803e+07 1.0042e+08 8.50704 0.59503 0.37920  445.73   27118      462  6592078  6592078
 6586258 35.14168 35.34976 35.28314 -100.35   63.98 -129.96   12.93   13.99 6.7141e+07 2.3225e+08 10.59014 0.92380 0.36590  2229.5   88592      364  6587066  6592078
 6586262 35.13923 35.29032 35.38207  -47.76   60.64 -136.51   10.10   10.98 3.4606e+07 1.5113e+08 8.49155 0.53459 0.53520     977   48294      388  6592078  6592078
 6586269 34.78372 34.97192 35.15407 -116.44   81.83   20.22    8.16    8.09 4.4817e+07 6.1085e+07 9.25634 1.08617 0.73440  171.61   13440      392       -1       -1
 6586272 34.84007 35.07017 35.17837 -111.92   87.99   16.12    8.68    9.69 7.9056e+07 1.3428e+08 11.18310 1.49960 0.72110  778.66   40872      967       -1       -1
 6586276 34.82775 35.04249 35.12731 -127.60   93.07   46.50    9.31    9.16 1.0704e+08 1.3352e+08 12.37183 2.12863 0.69460  770.22   40545     1522       -1       -1
 6586277 34.83845 35.04606 35.33311 -139.26   93.79  -28.68    9.34   11.34 6.1845e+07 1.7887e+08 10.30423 1.35323 0.47210  1350.3   61271      840       -1       -1
 6586298 34.97435 35.07199 35.36370 -113.31   19.15   31.58    9.55   10.82 1.2672e+08 2.0732e+08 13.08732 2.23038 0.84060  1792.8   75469     1687       -1       -1
