# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
20438470 35.21127 35.21127 35.21127  -32.34  121.38  123.72  156.97  158.57 1.018e+12 1.0206e+12 262.13380 55.67232 0.98010 2.7257e+10 2.7257e+10  3881040       -1       -1
20381171 34.63820 33.26630 35.53387  -28.66  116.45   76.82  148.77  154.45 8.6338e+11 8.9e+11 248.12535 45.12489 0.80740 2.3116e+10 2.3116e+10  3539426       -1       -1
20468416 35.50680 36.07952 35.50841    9.53  131.70   37.79   72.98   72.86 1.0255e+11 1.0256e+11 121.96761 18.00531 0.99340 2.9275e+08 4.8905e+08   452279       -1       -1
20439477 36.42346 34.46985 34.62810  -83.01  125.93  134.55   63.71   63.71 6.5577e+10 6.5577e+10 105.07465 21.51999 1.00000 1.1171e+08 2.3929e+08   284240       -1       -1
20467661 35.55631 36.64972 35.60654  -66.52  121.52   77.43   58.51   58.35 5.2648e+10 7.7901e+10 97.65634 17.43647 0.85390 7.2732e+07 1.7597e+08   235300       -1       -1
20467807 35.51813 36.64041 35.83137  -68.07  155.39  121.20   50.56   51.24 3.5366e+10 5.593e+10 85.52958 8.46569 0.96680 3.4119e+07 1.0257e+08   188706       -1       -1
20408520 35.08063 33.52010 34.70803  -51.24  144.32  155.12   55.01   55.01 3.1394e+10 3.1394e+10 82.20704 11.32127 1.00000 2.7212e+07 8.7229e+07   156804       -1       -1
20467901 35.60489 36.64197 35.75280   -6.31  145.93   89.24   42.60   44.81 2.0268e+10 2.5423e+10 71.04930 10.88790 0.77420 1.1818e+07 4.7795e+07   124880       -1       -1
20422003 34.59532 33.63325 35.74769  -63.55   59.19  153.39   48.26   48.36 1.6197e+10 1.6577e+10 65.92535 8.64670 0.84060 7.6971e+06 3.501e+07    83881       -1       -1
20445684 35.95280 33.96372 33.93449  -68.97  122.69  134.89   37.61   37.61 1.1087e+10 1.1087e+10 58.10423 8.93070 1.00000 3.7237e+06 2.0622e+07    56704       -1       -1
20434156 34.96892 33.88410 35.74620  -26.47   89.44  -15.59   33.99   33.99 6.8296e+09 6.8296e+09 49.43662 5.02181 1.00000 1.4701e+06 1.0447e+07    37161       -1       -1
20435720 34.34601 34.22683 35.63104   40.08   87.00   54.85   32.31   32.31 6.2803e+09 6.2803e+09 48.07606 5.86979 1.00000 1.2516e+06 9.285e+06    34994       -1       -1
20407655 35.05865 34.77415 35.08332  -57.26  218.84  179.75   32.18   32.18 5.9944e+09 5.9944e+09 47.33380 8.69217 1.00000 1.1445e+06 8.6958e+06    33346       -1       -1
20434487 33.95418 34.86037 36.58194    5.68  127.25   25.42   29.96   29.96 5.7465e+09 5.7465e+09 46.67465 6.27338 1.00000 1.0554e+06 8.1941e+06    31045       -1       -1
20438146 35.24004 34.94724 35.32500   -6.96   84.39  251.17   38.65   39.66 5.7423e+09 7.0718e+09 46.66056 5.84524 0.63480 1.5717e+06 1.0972e+07    43866       -1       -1
20425091 34.43197 35.89859 35.47972   43.27  119.78   91.78   30.51   30.51 5.5451e+09 5.5451e+09 46.11972 6.07631 1.00000 9.8557e+05 7.7928e+06    29424       -1       -1
20410304 35.03920 35.93708 33.72803  -19.18  141.37  141.57   31.01   31.38 5.3789e+09 5.5183e+09 45.65634 5.09878 0.94020 9.2966e+05 7.466e+06    28926       -1       -1
