# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
21262519 35.21127 35.21127 35.21127 -117.89   75.61  -45.34  204.10  204.10 2.4113e+12 2.4113e+12 349.41549 73.55269 1.00000 5.0687e+10 5.0687e+10  5414115       -1       -1
21254471 35.07104 35.00461 34.88308 -210.79    2.30  -42.25   10.17   10.78 7.6789e+07 8.5859e+07 11.07465 1.26519 0.25000  329.94   21736      480       -1       -1
21254498 35.02848 34.95693 35.01566 -101.32   33.79 -103.05    8.43    8.62 5.069e+07 7.8113e+07 9.64366 0.98381 0.74770  275.16   19019     1081       -1       -1
21254566 35.20003 35.14346 35.22332 -352.51  -98.89  -96.23   13.63   21.66 7.6972e+07 7.0085e+08 11.08451 0.95020 0.22640   18584 4.2132e+05      457 21256277 21262519
21254587 35.19776 34.91607 35.24992 -243.54  121.08 -151.26    9.91   10.29 4.5958e+07 8.7183e+07 9.33380 0.57099 0.37920  339.77   22210      281 21262519 21262519
21254588 35.24008 35.01890 35.34573 -180.25   16.47  -96.56    8.07    8.35 2.1183e+07 3.3282e+07 7.20986 0.67510 0.43230   53.48  5701.9      239 21262519 21262519
21254591 35.13879 35.08480 35.38935 -173.67   53.71  -13.44   13.41   19.38 7.6028e+07 4.5099e+08 11.03803 0.97688 0.30280  7971.7 2.261e+05      536 21262519 21262519
21254610 35.16321 35.30487 35.15823 -120.30 -163.99  -55.05    8.69    9.24 1.4366e+07 3.9901e+07 6.33521 0.43124 0.21310  75.763  7366.6       93 21262519 21262519
21254617 34.90190 35.09899 35.16577  -91.93  -71.77 -114.02   10.87   10.90 8.7563e+07 9.362e+07 11.57042 1.04722 0.65470  389.57   24560      678 21262519 21262519
21254643 35.20989 35.19231 35.17610  -91.92   79.54 -385.76    8.71   11.64 1.2482e+07 9.4183e+07 6.04507 0.36481 0.31610  394.08   24769       72 21262519 21262519
