# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
12959976 35.21127 35.21127 35.21127  -23.76  -88.90   -3.54  212.56  212.56 2.6155e+12 2.6155e+12 359.01549 98.68076 1.00000 5.2937e+10 5.2937e+10  8643224       -1       -1
12962829 35.84432 35.42475 35.99327 -103.15  -81.54  -56.94  143.77  143.77 5.6183e+11 5.6183e+11 215.00845 40.95543 1.00000 1.3607e+10 1.3607e+10  2304345       -1       -1
12958502 35.11999 35.34159 35.05690  164.34   49.62   98.96   82.94   84.96 1.001e+11 1.0797e+11 120.98732 14.51410 0.92030 3.3084e+08 5.3725e+08   542790 12959976 12959976
12969806 35.39421 36.10885 36.10661   12.21 -211.89  -28.30   74.79   74.79 9.2789e+10 9.2789e+10 117.96901 23.05557 1.00000 2.3255e+08 4.1058e+08   409750       -1       -1
12970629 34.74168 35.28646 34.39228   10.22 -108.34   85.20   81.98   81.98 7.5324e+10 7.5324e+10 110.04648 11.43744 1.00000 1.4812e+08 2.9371e+08   348507       -1       -1
12971405 35.34720 36.08425 34.77537  -11.57 -205.92   34.83   53.33   53.33 4.7282e+10 4.7282e+10 94.22676 40.17993 1.00000 5.9214e+07 1.5199e+08   194424       -1       -1
12962322 35.66220 35.21477 35.64525   41.94 -108.77  -29.19   52.75   56.97 2.0423e+10 3.2169e+10 71.23239 11.21600 0.65470 2.8502e+07 9.0175e+07   194511       -1       -1
12960011 35.22848 35.27372 35.28390  172.94   59.21  145.88   55.53   66.92 1.4211e+10 5.9183e+10 63.11408 7.81561 0.57500 9.1227e+07 2.0688e+08   143752 12959976 12959976
13072720 34.30718 34.40532 34.97566  -14.77    9.59  -26.22   38.17   38.17 1.2131e+10 1.2131e+10 59.87324 10.10280 1.00000 4.4245e+06 2.3388e+07    70994       -1       -1
12957919 35.02073 35.16869 35.42420 -133.51 -156.11  126.33   35.57   46.47 1.1556e+10 1.862e+10 58.91127 7.00321 0.86720 1.0049e+07 4.2494e+07   100070 12959976 12959976
12956181 35.09034 35.20977 35.20586  -25.66 -243.07 -219.76   55.49   64.89 1.1277e+10 3.707e+10 58.43380 7.73056 0.56180 3.7305e+07 1.0933e+08    64067 12959976 12959976
13060254 35.51518 36.27289 34.79800  -14.88 -200.86   47.79   41.09   40.88 1.0544e+10 1.0604e+10 57.13803 6.72271 0.92030 3.3815e+06 1.9219e+07    52954       -1       -1
12959714 35.35317 35.52379 35.85749  -60.19 -127.96  -93.76   42.68   42.68 1.0214e+10 1.0214e+10 56.53803 6.98775 1.00000 3.1817e+06 1.8383e+07    68246       -1       -1
13016920 35.44749 35.78328 36.04663   12.10 -193.04  -56.84   38.18   38.18 1.0024e+10 1.0024e+10 56.18169 6.29435 1.00000 3.0691e+06 1.7905e+07    56158       -1       -1
12961655 35.58882 35.65925 35.85185   31.57 -166.89 -101.74   38.64   38.64 9.631e+09 9.631e+09 55.43803 5.66210 1.00000 2.8425e+06 1.6929e+07    54926       -1       -1
12951899 34.99011 34.88803 34.89297  -64.37  -68.28   90.07   43.90   53.19 9.5831e+09 2.462e+10 55.34789 7.42994 0.60160 1.7132e+07 6.2521e+07    76287       -1       -1
13072508 34.65117 34.50899 34.70276   47.11  -39.63   34.70   32.34   32.34 9.069e+09 9.069e+09 54.33944 8.34596 1.00000 2.533e+06 1.556e+07    47115       -1       -1
