# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 6752850 35.21127 35.21127 35.21127   30.64  -37.75 -141.06  155.15  155.15 1.0086e+12 1.0086e+12 261.31268 61.92037 1.00000 2.7018e+10 2.7018e+10  3579499       -1       -1
 6762263 34.19308 36.35125 35.26301   46.89  -46.95 -113.03   52.07   52.07 3.0944e+10 3.0944e+10 81.81268 11.37534 1.00000 2.6474e+07 8.5525e+07   171042       -1       -1
 6752075 35.11538 35.43080 35.04856  102.11 -173.34 -118.21   49.16   49.68 2.3254e+10 2.3563e+10 74.36901 13.26692 0.89380 1.5364e+07 5.7792e+07   128283       -1       -1
 6762378 33.62148 36.73010 35.14130   40.83  -41.47 -103.93   39.62   41.04 2.007e+10 2.0437e+10 70.81972 22.70637 0.72110 1.1599e+07 4.7152e+07   108171       -1       -1
 6745198 34.44330 34.25256 35.16248   62.31   -6.15 -118.55   46.27   46.27 1.8324e+10 1.8324e+10 68.69718 9.59767 1.00000 9.7462e+06 4.156e+07    95429       -1       -1
 6762489 33.05711 35.86893 34.96923   45.26  -16.64 -117.16   44.75   43.96 1.8225e+10 2.0775e+10 68.57042 17.10547 0.72110 9.6462e+06 4.125e+07    95258       -1       -1
 6795563 35.86618 33.91137 35.33062   44.06  -15.43 -113.26   45.83   45.83 1.7606e+10 1.7606e+10 67.78873 7.74851 1.00000 9.0286e+06 3.9315e+07    87270       -1       -1
 6762642 33.91954 36.43987 35.21211   60.62  -26.67 -138.98   48.85   48.85 1.5761e+10 1.5761e+10 65.32113 5.34543 1.00000 7.3048e+06 3.3703e+07    83583       -1       -1
 6818094 35.86121 35.21794 34.61425  -11.08  -66.68  -97.61   41.15   46.90 1.2689e+10 1.4352e+10 60.77746 7.93039 0.37920 4.8225e+06 2.4905e+07    72432       -1       -1
 6774226 33.80027 37.06383 35.59076   11.13  -56.65 -144.51   36.42   35.95 1.2586e+10 1.259e+10 60.61127 8.45231 0.74770 4.7479e+06 2.4624e+07    70784       -1       -1
 6754366 34.93123 34.49715 35.94761   36.90  -15.66 -165.64   37.45   37.45 1.0204e+10 1.0204e+10 56.51831 4.14759 1.00000 3.1758e+06 1.8358e+07    50288       -1       -1
 6818113 35.81714 37.02108 34.29896    2.72  -60.10 -161.55   36.13   36.13 9.6986e+09 9.6986e+09 55.56901 6.65705 1.00000 2.8809e+06 1.7096e+07    48802       -1       -1
 6745257 33.08593 34.63324 34.45101   39.44  -12.11 -127.94   39.16   39.16 9.6028e+09 9.6028e+09 55.38592 4.66229 1.00000 2.8266e+06 1.6859e+07    45339       -1       -1
 6752003 34.97425 35.35172 35.15711   97.79 -153.87 -108.25   38.80   36.54 9.5169e+09 1.0335e+10 55.21831 7.45270 0.65470 2.7783e+06 1.6648e+07    60696       -1       -1
 6818176 35.28813 35.87183 34.70746    2.50 -104.72 -131.32   34.21   34.32 7.3761e+09 7.5141e+09 50.72254 4.16428 0.70780 1.704e+06 1.1641e+07    35581       -1       -1
 6763032 35.12073 35.89990 34.62146    1.96 -108.42 -122.45   35.13   35.13 7.2676e+09 7.2676e+09 50.47465 6.14232 1.00000 1.6563e+06 1.1401e+07    37782       -1       -1
 6745104 34.28439 34.30339 35.11176   81.55  -11.44 -110.75   32.96   32.96 6.3254e+09 6.3254e+09 48.19014 6.16517 1.00000 1.2689e+06 9.3788e+06    33669       -1       -1
 6826213 35.33663 35.17727 35.06708   55.79   50.60  -48.91   42.85   46.49 5.8577e+09 9.4352e+09 46.97042 5.17407 0.44560 2.7328e+06 1.6448e+07    40690  6752850  6752850
 6818178 35.52825 35.24211 34.90462   27.26  -66.58 -131.78   42.11   51.80 4.9915e+09 1.058e+10 44.53380 4.80771 0.30280 3.404e+06 1.9313e+07    26521       -1       -1
 6745372 34.11665 34.31265 34.94399   71.53  -23.56 -114.41   28.61   28.61 4.8676e+09 4.8676e+09 44.16197 5.74317 1.00000 7.6748e+05 6.4866e+06    25144       -1       -1
 6745397 33.67713 33.72804 34.57739   53.54  -13.70 -120.81   28.34   28.48 4.4352e+09 4.4634e+09 42.81127 4.80615 0.93360 6.4198e+05 5.69e+06    23463       -1       -1
 6818198 35.66923 35.74106 34.59631   -0.70  -98.32 -111.47   27.59   27.59 4.2704e+09 4.2704e+09 42.27324 7.55250 1.00000 5.9698e+05 5.3944e+06    22005       -1       -1
 6763100 33.33121 36.59568 35.31232   50.07  -19.62 -121.48   28.92   28.92 4.2479e+09 4.2479e+09 42.19859 4.68426 1.00000 5.9094e+05 5.3544e+06    22933       -1       -1
 6825689 35.42570 35.22980 35.21375   15.64  -78.83 -179.93   37.58   44.03 4.1676e+09 1.0583e+10 41.93380 5.84625 0.40570 3.4058e+06 1.932e+07    53036  6752850  6752850
 6795829 35.45901 33.72463 35.96811   17.90  -30.61 -133.20   27.07   27.07 4.1521e+09 4.1521e+09 41.88310 5.31266 1.00000 5.6563e+05 5.1851e+06    21256       -1       -1
 6754556 35.04856 34.15597 36.14613   54.40  -49.17 -165.49   28.52   28.52 3.6972e+09 3.6972e+09 40.29437 6.46274 1.00000 4.5268e+05 4.4028e+06    19535       -1       -1
 6752722 35.06700 35.48217 35.17673  -55.43  -10.54  -79.90   31.94   33.12 3.4507e+09 4.4972e+09 39.37887 4.94607 0.78750 6.5931e+05 5.8023e+06    25823       -1       -1
 6745452 34.71801 35.53327 34.89354   61.95 -129.78 -147.29   26.28   26.16 3.3535e+09 3.4549e+09 39.00282 3.06546 0.89380 3.7537e+05 3.8371e+06    18058       -1       -1
 6774492 33.63956 36.90073 35.46123   43.26  -39.76 -135.47   23.82   23.82 3.2254e+09 3.2254e+09 38.49718 6.69183 1.00000 3.4831e+05 3.632e+06    17413       -1       -1
 6818211 35.83869 35.48923 34.58715   -0.99  -52.42 -106.92   23.07   22.29 3.2e+09 3.2577e+09 38.40000 9.71289 0.64140 3.4307e+05 3.5918e+06    17083       -1       -1
 6807688 36.51048 35.29137 33.62700   28.83  -44.98 -144.61   24.03   24.03 3.0254e+09 3.0254e+09 37.68732 5.17962 1.00000 3.0803e+05 3.3185e+06    16171       -1       -1
 6826265 35.48424 35.40739 35.22220   53.50   14.08 -106.42   32.68   33.69 2.9423e+09 4.2901e+09 37.33662 3.36406 0.78750 6.0228e+05 5.4295e+06    22530       -1       -1
 6795883 35.75565 34.16456 35.42965   40.54   -6.21 -137.41   21.36   21.36 2.8662e+09 2.8662e+09 37.01408 5.61548 1.00000 2.7768e+05 3.075e+06    12098       -1       -1
 6818307 35.88752 35.56006 34.90837  -11.53  -44.29 -106.52   25.27   25.26 2.8141e+09 2.8183e+09 36.78873 4.19699 0.98670 2.6806e+05 2.9964e+06    16135       -1       -1
 6826040 35.21807 35.11792 35.02117   19.55  -16.47 -128.64   35.57   46.92 2.5972e+09 1.6239e+10 35.81831 3.81347 0.44560 7.7356e+06 3.5137e+07    27254  6752850  6752850
 6763203 34.51045 36.93773 34.75921   37.69  -53.01 -111.64   23.84   25.45 2.5859e+09 2.5915e+09 35.76479 5.52528 0.96020 2.279e+05 2.6596e+06    13686       -1       -1
 6751941 34.96227 35.33517 34.92693   41.07 -131.46  -63.12   25.00   24.73 2.4901e+09 2.5014e+09 35.31549 4.44946 0.97340 2.1197e+05 2.5217e+06    13906       -1       -1
 6818354 35.86711 35.25576 34.77907  -33.26  -78.59 -114.35   24.45   24.45 2.4887e+09 2.4887e+09 35.30986 5.09424 1.00000 2.1174e+05 2.5197e+06    13087       -1       -1
 6795916 35.90141 33.12062 35.94841   32.91  -52.67 -130.38   20.84   20.84 2.4183e+09 2.4183e+09 34.97746 6.08455 1.00000 2.0039e+05 2.4197e+06    12246       -1       -1
 6763274 34.31513 35.85203 35.23990   79.02  -22.23 -121.47   24.18   24.18 2.2225e+09 2.2225e+09 34.00282 3.77295 1.00000 1.704e+05 2.148e+06    11978       -1       -1
 6825657 35.26887 35.34510 35.45341   29.15 -129.91 -128.94   29.55   30.92 2.1746e+09 3.2606e+09 33.76197 4.36676 0.58830 3.5565e+05 3.688e+06    13427       -1       -1
 6761896 35.14476 35.28456 35.34783   69.07 -121.15 -135.62   34.10   38.49 2.1662e+09 4.4296e+09 33.71408 3.25072 0.39240 6.4041e+05 5.6798e+06    24366  6752850  6752850
 6818246 36.14630 35.33146 34.07496   10.84  -73.04 -119.29   21.43   21.46 2.1169e+09 2.1239e+09 33.45915 6.13779 0.97340 1.5519e+05 2.0054e+06    13333       -1       -1
 6754606 35.05328 34.72115 35.65206   77.41  -35.27 -201.82   25.79   25.79 2.1085e+09 2.1085e+09 33.41127 2.41743 1.00000 1.5401e+05 1.9941e+06    11146       -1       -1
 6761774 35.14527 35.43308 35.33663  109.69 -164.04 -159.82   24.28   24.56 2.038e+09 2.1338e+09 33.03521 3.79333 0.73440 1.4428e+05 1.9008e+06    13473       -1       -1
 6825558 35.29561 35.24372 35.51568  -55.67  -23.09 -164.51   25.85   28.15 1.8704e+09 3.131e+09 32.10282 2.93162 0.61490 3.2901e+05 3.483e+06    18804       -1       -1
 6825967 35.30228 35.19490 35.03255   -9.90  135.14 -172.64   23.06   23.04 1.8704e+09 2.0634e+09 32.10563 5.58345 0.84060 1.4775e+05 1.9343e+06    12352  6752850  6752850
 6818349 36.07435 35.43638 33.97793   14.77  -36.81 -124.31   20.18   20.50 1.8099e+09 2.2648e+09 31.75493 5.52078 0.78750 1.1487e+05 1.6076e+06    11248       -1       -1
 6826036 35.23655 35.55090 35.40763   26.83  -64.24 -128.15   28.81   30.40 1.8085e+09 3.3085e+09 31.75070 3.64787 0.69460 3.6574e+05 3.7646e+06    12812       -1       -1
 6751787 34.86993 35.44445 35.05520   97.92 -128.20 -115.65   20.96   21.05 1.7521e+09 1.9521e+09 31.41127 4.74749 0.70780 1.0794e+05 1.5357e+06    10786       -1       -1
 6746487 35.11987 35.65068 34.66287   13.55 -109.78 -115.92   19.11   19.11 1.738e+09 1.738e+09 31.32817 4.89688 1.00000 1.0628e+05 1.5183e+06     9382       -1       -1
 6818360 35.63858 35.84614 34.75259   21.65  -95.56  -87.16   21.71   21.71 1.731e+09 1.731e+09 31.28310 4.29459 1.00000 1.0545e+05 1.5096e+06     9487       -1       -1
 6752174 35.19669 35.08852 34.93945   39.37 -130.01 -158.41   25.35   26.79 1.6718e+09 2.5718e+09 30.92254 3.89908 0.70780 2.2552e+05 2.6392e+06    24424       -1       -1
 6825410 35.43208 35.39170 35.10500  -26.29 -141.56  -48.31   20.54   20.44 1.6634e+09 1.6803e+09 30.87465 5.01165 0.96020   97689 1.4271e+06     8911       -1       -1
 6774137 33.78639 36.93808 35.54014   33.27  -37.17 -128.84   20.08   19.49 1.6549e+09 1.7085e+09 30.82394 3.01032 0.92030   96738 1.4169e+06    10496       -1       -1
 6763347 34.71203 37.41582 34.90935   19.69  -48.57 -150.64   21.07   21.07 1.6239e+09 1.6239e+09 30.62535 4.32306 1.00000   93291 1.3796e+06     8856       -1       -1
