# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 6494401 35.21127 35.21127 35.21127    9.80  -40.24   14.39  156.61  151.51 1.1993e+12 1.2324e+12 276.84930 51.54830 0.92030 3.1548e+10 3.1548e+10  4344625       -1       -1
 6490429 35.19968 34.89970 35.07776    9.07 -141.04   -5.56    9.70   11.05 5.6169e+07 1.2577e+08 9.97887 1.17576 0.40570  686.72   37264      479       -1       -1
 6490448 35.22431 35.12310 35.18779   60.11 -157.13  -98.42   19.44   23.56 3.6972e+08 1.3093e+09 18.70282 1.72393 0.50860   61696 1.018e+06     3988  6494401  6494401
 6490480 35.19183 35.02235 35.11314  -14.18 -172.87  -38.25    9.07   10.89 5.6732e+07 1.1877e+08 10.01268 1.12663 0.47210  615.22   34370      541  6494401  6494401
 6490482 35.13699 35.05539 35.13656  -60.17  -71.30  -50.57    8.43    8.64 2.3634e+07 5.4662e+07 7.47887 0.82390 0.40570  138.65   11489      286  6494401  6494401
 6490501 35.01897 35.07034 35.21593   11.81  -68.19   -5.42    9.92   11.66 5.069e+07 1.5296e+08 9.64366 1.05005 0.57500  999.85   49122      435  6494401  6494401
 6490511 35.11966 35.09589 34.98676  140.66  -87.05  -63.38    9.58    9.50 8.0761e+07 8.8704e+07 11.26338 1.41845 0.73440  351.25   22760      539  6494401  6494401
 6490523 35.15651 35.16299 35.07363  102.85  -71.58  -27.16    9.04    9.26 2.4014e+07 4.3127e+07 7.51831 0.61749 0.48540  87.957  8221.1      205  6494401  6494401
 6490532 35.11980 34.89756 35.18539  -32.39  -23.49  -57.08    8.69   11.31 5.4845e+07 1.5451e+08 9.90000 1.19675 0.32930  1019.4   49826      593       -1       -1
 6490536 35.04862 35.12079 35.04630    1.84   24.83  -67.10    8.56    8.68 3.4606e+07 4.8789e+07 8.49155 0.78903 0.44560  111.46  9785.3      249  6494401  6494401
 6490537 35.22055 35.17339 34.99256   34.47  -10.56  -20.98    9.05   10.01 2.8366e+07 6.3549e+07 7.94648 0.77421 0.35260  185.15   14212      238  6494401  6494401
 6490551 35.21435 35.16459 35.19455 -180.06  -17.59   20.84   10.07   10.42 1.3617e+07 6.6761e+07 6.22254 0.26489 0.35260  203.53   15237       85  6494369  6494401
 6490556 35.20382 35.10293 35.21106  -30.97    3.35 -126.45   10.51   17.89 2.893e+07 3.8944e+08 8.00000 0.61811 0.22640  6014.4 1.838e+05      156  6494401  6494401
 6490559 35.05649 35.03790 35.08041  -37.86  -28.95  -42.30   14.25   15.19 2.0127e+08 3.4394e+08 15.26901 1.41357 0.41900  4738.2 1.5423e+05     1593  6494401  6494401
 6490586 35.22231 35.17739 35.15475   34.04  200.04  -11.77    8.01    8.12 1.5324e+07 2.9507e+07 6.47183 0.58260 0.26290  42.444  4810.7       95  6494403  6494401
 6490592 35.05010 35.11165 35.20021  128.27   49.99  -52.86    8.34    9.58 3.5366e+07 6.0704e+07 8.55352 1.00624 0.25000  169.57   13322      205  6494401  6494401
 6490601 35.06330 35.10570 35.20596   51.97    8.24   -0.67    8.60   10.52 1.7592e+07 8.0761e+07 6.77606 0.53874 0.33930  293.35   19936      164  6494401  6494401
 6490602 35.15796 35.06732 35.13345   55.59   75.66  -89.87   12.74   13.45 1.1499e+08 2.1831e+08 12.67042 1.17844 0.47210  1979.6   81176      815  6494401  6494401
 6490609 34.98901 35.05561 34.99923  -12.91  -93.10   34.71    9.82   10.56 9.1155e+07 1.8366e+08 11.72676 1.82105 0.68130  1420.6   63600      972       -1       -1
 6490677 35.24897 34.96613 35.06646   24.08 -116.54   33.60   13.32   16.73 1.0572e+08 4.7986e+08 12.32113 1.15061 0.40570  8980.4 2.4681e+05     1168       -1       -1
 6490678 35.12576 35.03251 35.11983   90.22 -108.70  -19.25   21.16   22.64 5.8042e+08 1.0008e+09 21.73521 2.50583 0.52190   36835 6.9673e+05     4612  6495057  6494401
 6490710 35.14066 35.01918 35.02003  -41.48   -5.60  -39.33    9.43    9.96 7.1113e+07 1.0175e+08 10.79577 1.34330 0.58830  457.08   27624      915       -1       -1
 6490718 35.10846 35.10870 34.91599  -56.64   73.99   41.22   22.96   22.84 1.7352e+09 1.8e+09 31.31549 2.35082 0.80080 1.0595e+05 1.5148e+06     9792       -1       -1
 6490720 35.15532 35.18211 34.96758  -60.97  -34.06   53.22   10.40   11.66 8.8127e+07 2.0634e+08 11.59577 1.25704 0.53520  1776.4   74962     1092  6494401  6494401
 6490777 35.11761 34.77068 35.10275   69.93   16.34   88.16    8.46    9.22 4.0099e+07 6.0338e+07 8.91831 1.04483 0.43230  76.483    7418      241  6490778  6490778
 6490778 35.12720 34.76689 35.10421   64.31   21.54  103.33   16.21   16.10 8.5451e+08 8.8704e+08 24.72676 3.32699 0.77420   27192 5.5738e+05     4883       -1       -1
 6490795 35.17935 35.11225 35.08977  135.53  -41.51   54.08   12.59   12.77 1.2993e+08 2.6746e+08 13.19718 1.25123 0.35260  2923.5 1.0813e+05     1124  6494401  6494401
 6490803 35.14010 35.05132 35.12708   46.50  -30.39  100.55    8.01    8.78 1.8718e+07 3.3859e+07 6.91972 0.59530 0.23970  55.276  5842.1      385  6494401  6494401
 6490814 35.07554 35.09894 35.14611  129.53  -27.41   -2.27   12.43   15.38 7.962e+07 2.7746e+08 11.20986 1.23751 0.37920    3137 1.1388e+05      772  6494401  6494401
 6490827 35.25915 34.98380 34.96659    9.26  -64.89   -6.55    8.55   10.18 2.9507e+07 8.2831e+07 8.05211 1.10228 0.41900  307.96   20661      239       -1       -1
 6490840 35.24369 35.00937 35.18755   10.51  -68.46  -70.75    8.24    8.20 1.2861e+07 4.331e+07 6.10423 0.47897 0.35260  88.676  8270.5       80  6494401  6494401
 6490845 35.30823 35.06680 35.18415   23.09  -99.11  -83.14    8.53    9.58 1.5887e+07 5.938e+07 6.55070 0.36855 0.26290  162.54   12914       97  6492360  6494401
 6490857 35.22394 34.98431 35.05870    5.33   51.78  -12.64   12.09   12.61 1.2842e+08 2.0803e+08 13.14648 1.14607 0.62820  1804.5   75831     1484  6494401  6494401
 6490860 35.27361 34.92892 35.16438  -52.59    8.25  -48.14    9.78   10.99 6.0704e+07 1.3787e+08 10.24085 1.20805 0.40570  819.14   42424      346       -1       -1
 6490886 35.21165 35.17166 35.04792  -58.55  -11.23  -83.30    8.25    9.85 1.6648e+07 6.0704e+07 6.65211 0.56161 0.22640  169.57   13322      164  6494401  6494401
 6490887 35.22986 35.15732 35.11592 -110.66  -57.17  -93.42    8.80   10.51 3.7634e+07 1.0156e+08 8.73239 1.02924 0.45880  455.51   27554      539  6494401  6494401
 6490895 35.46239 34.93079 35.06486   31.36   92.84  -27.09   11.26   11.26 2.4451e+08 2.4451e+08 16.29437 2.75137 1.00000  2460.8   95262     1636       -1       -1
 6490898 35.44931 35.10652 35.00887   -6.01   95.45    3.39   11.01   10.74 1.5831e+08 1.6056e+08 14.09577 1.10008 0.92030  1068.1   51566     1099       -1       -1
 6490906 35.27997 35.05359 34.93658   78.88  -69.90  -86.39   10.33   11.21 1.1707e+08 1.8141e+08 12.74648 1.34154 0.66800  1387.3   62501     1109       -1       -1
 6490920 35.22977 35.14128 35.07804   75.83  -74.12 -168.67    9.18    9.77 6.431e+07 8.6803e+07 10.43944 0.95611 0.85390  336.93   22074      534  6494401  6494401
 6490927 35.40468 34.93820 35.14021   64.47 -176.31  -14.40    9.71   10.22 7.0732e+07 1.5113e+08 10.77606 1.14707 0.78750     977   48294      925       -1       -1
 6490936 35.22556 34.99639 35.08261   18.77 -120.89  -54.40    8.50   11.45 3.1211e+07 1.3352e+08 8.20423 0.79990 0.33930  770.22   40545      219  6494401  6494401
 6490944 35.24952 35.08973 35.05246   30.39 -118.98  -99.90   13.09   14.39 1.1254e+08 3.2183e+08 12.58028 0.93018 0.39240  4170.6 1.4042e+05     1133  6494401  6494401
 6490950 35.31110 35.09461 35.11689  130.49 -135.81  -76.83    8.37    8.53 2.5718e+07 4.7282e+07 7.69155 0.66117 0.45880  104.95  9361.3      262  6492360  6494401
 6490967 35.42179 35.11077 35.11706   64.14   31.12 -115.05   10.75   10.83 1.199e+08 1.3976e+08 12.84930 1.22584 0.65470  840.81   43246     1064  6494401  6494401
 6490973 35.25010 35.16270 35.19508   70.43  144.01 -134.81   11.34   12.85 8.4352e+07 2.1028e+08 11.42817 0.80995 0.64140  1842.2   76993     1046  6494369  6494401
 6490986 35.30199 35.17934 35.15235  187.97   44.87  -15.88   12.54   13.33 8.3028e+07 2.2197e+08 11.36761 1.00428 0.31610  2043.9   83105      503  6494401  6494401
 6490993 35.44377 34.89139 35.09817   -3.87  -93.47   17.44    8.80    9.60 3.1775e+07 8.8127e+07 8.25352 0.95694 0.41900  346.87   22551      368       -1       -1
 6490996 35.28815 35.00496 34.99765    1.68  -76.25   31.15   12.36   13.01 1.0175e+08 1.6676e+08 12.16479 1.26219 0.78750  1180.3   55495      829       -1       -1
 6491007 35.25961 35.16170 35.21801  -74.60 -140.84   -0.99    9.91   21.25 2.2507e+07 3.6704e+08 7.35634 0.71993 0.17660    5368 1.6905e+05      133  6494369  6494401
 6491022 35.44225 35.08489 35.09165   16.13  -73.16   61.60    9.74   12.63 4.0662e+07 1.4718e+08 8.96056 0.76366 0.27620  928.64   46524      420       -1       -1
 6491031 35.52448 35.02382 35.08161  108.94  -84.81   28.19   15.33   16.42 3.0507e+08 5.0887e+08 17.54085 1.60618 0.69460   10052 2.6814e+05     2657       -1       -1
 6491047 35.32015 35.12442 35.07192   68.12  -95.10   67.05   12.18   13.50 3.8775e+07 1.2066e+08 8.81972 0.58132 0.28950  634.12   35143      317  6494401  6494401
 6491054 35.35682 35.01968 35.17206   82.43 -199.19   26.33   11.30   12.41 2.031e+08 3.331e+08 15.31690 1.49739 0.85390  4455.5 1.4741e+05     2322  6494401  6494401
 6491058 35.38134 35.05348 35.17548  109.29 -199.55   36.93    8.58    9.82 4.9549e+07 8.9451e+07 9.57042 1.31410 0.28950  356.94   23030      497  6494401  6494401
