# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
24706808 35.21127 35.21127 35.21127   54.03   37.92   21.61  218.02  218.02 2.8437e+12 2.8437e+12 369.15915 109.88734 1.00000 5.525e+10 5.525e+10  8975938       -1       -1
24734379 35.72852 36.15518 34.09045   53.75   15.66   26.03  104.73  121.37 2.4014e+11 4.0296e+11 161.95352 37.40224 0.57500 2.6299e+09 2.8997e+09  1147209       -1       -1
24734997 35.93510 36.57330 33.95554   -8.67    3.11   -2.78   99.41   99.12 1.7789e+11 1.7944e+11 146.56056 19.40338 0.89380 1.1979e+09 1.5021e+09   814824       -1       -1
24742682 35.79017 34.54435 36.09800  -24.10   62.78  -17.43   94.10   94.10 1.7338e+11 1.7338e+11 145.27887 23.58660 1.00000 1.1186e+09 1.4198e+09   728553       -1       -1
24734160 36.04793 36.04192 34.18085    1.26   69.61   56.52   79.53  104.68 1.5887e+11 2.3014e+11 141.11549 56.53428 0.65470 8.8608e+08 1.1738e+09   730434       -1       -1
24745282 36.40723 34.88913 35.38886  -77.46   32.24   32.35   82.75   82.75 1.0444e+11 1.0444e+11 122.70845 16.09605 1.00000 3.0561e+08 5.0544e+08   458740       -1       -1
24703280 35.69345 34.95382 35.47320 -114.83   64.95   -1.89   74.92   68.84 7.2056e+10 7.7239e+10 108.42958 15.10323 0.80080 1.3515e+08 2.7472e+08   335424       -1       -1
24747935 33.97154 35.30354 35.16258  118.54  -22.32   83.34   56.58   56.58 5.338e+10 5.338e+10 98.10845 38.45926 1.00000 7.4691e+07 1.7933e+08   240382       -1       -1
24751513 34.81428 33.92444 35.88796   44.04   59.80  -16.76   53.67   53.67 3.1901e+10 3.1901e+10 82.63662 17.46448 1.00000 2.8053e+07 8.9155e+07   151468       -1       -1
24752019 35.51223 36.68193 34.93682   11.59   61.14   22.43   55.55   56.39 2.9606e+10 2.9746e+10 80.60704 11.96215 0.72110 2.434e+07 8.0516e+07   147436       -1       -1
24697142 35.20220 35.20369 35.01123  -51.02 -132.27  228.04   52.76   52.64 2.1056e+10 2.2211e+10 71.94930 10.91847 0.89380 1.4077e+07 5.4248e+07   112369 24706808 24706808
24704361 35.08052 35.10666 34.96554 -123.16   83.55   46.92   53.93   57.72 2.0535e+10 3.393e+10 71.36056 10.48068 0.50860 3.1536e+07 9.6956e+07   142515 24706808 24706808
24879740 36.48165 34.55434 36.26310  -12.99  113.38  119.62   42.93   42.93 1.8789e+10 1.8789e+10 69.27746 10.28022 1.00000 1.0224e+07 4.303e+07    93185       -1       -1
24734161 36.04542 36.05152 34.19055   21.12    7.69    5.66   45.07   84.16 1.8577e+10 1.7338e+11 69.01831 8.82550 0.62820 1.0006e+07 4.2361e+07   117129 24734160 24734160
24702392 35.21465 35.49577 34.91501   81.72   59.04   14.46   53.77   65.60 1.4662e+10 3.931e+10 63.76761 8.33714 0.76100 4.1695e+07 1.1837e+08   156557       -1       -1
24742540 35.61773 34.52794 35.95161   58.53   86.58  -44.56   35.42   35.42 1.2276e+10 1.2276e+10 60.10986 12.14674 1.00000 4.5264e+06 2.378e+07    63616       -1       -1
24832831 33.31024 35.33407 35.09203   98.51  -16.43   91.22   39.64   39.64 1.132e+10 1.132e+10 58.50704 11.24834 1.00000 3.8747e+06 2.1229e+07    58557       -1       -1
