# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
13875863 35.21127 35.21127 35.21127   -0.84  -76.51   35.87  186.32  186.32 1.9746e+12 1.9746e+12 326.90986 98.68644 1.00000 4.5157e+10 4.5157e+10  7019187       -1       -1
13886889 34.34848 35.46870 35.88327   -3.51  -85.59  -70.04   75.59   78.67 9.9239e+10 1.1041e+11 120.63662 14.93265 0.72110 2.7117e+08 4.6128e+08   481461       -1       -1
13888072 36.01197 35.01831 35.57951  -74.49  -43.30  -62.56   66.69   67.88 6.6155e+10 6.6845e+10 105.38451 14.34352 0.89380 1.1368e+08 2.4233e+08   332195       -1       -1
13875874 35.27624 35.23921 35.26780 -201.44 -182.01  -82.86   75.17   82.64 4.869e+10 9.2338e+10 95.14930 14.55354 0.69460 2.3002e+08 4.0721e+08   342178 13875863 13875863
13875680 35.29223 35.00770 35.49325  104.99  -44.47  -70.45   54.43   56.17 3.5718e+10 3.9563e+10 85.81268 18.16396 0.84060 3.4766e+07 1.0396e+08   205824       -1       -1
13891743 36.79594 35.35758 34.51777   19.98 -150.52   47.39   51.41   51.34 3.1113e+10 3.1408e+10 81.95352 9.12326 0.92030 2.675e+07 8.6163e+07   141721       -1       -1
13893247 34.17917 36.11570 34.62592   28.83 -103.25  107.01   52.76   52.76 2.7113e+10 2.7113e+10 78.28310 11.33499 1.00000 2.0588e+07 7.138e+07   136885       -1       -1
13892775 34.06396 35.71223 35.42323   36.86 -137.53   79.21   49.64   51.33 2.7e+10 2.8775e+10 78.17746 12.67240 0.82740 2.0426e+07 7.0974e+07   146125       -1       -1
13893378 36.30634 35.15221 34.40932  -50.07  -56.28  -37.83   47.83   47.83 2.4549e+10 2.4549e+10 75.73239 7.91568 1.00000 1.7038e+07 6.2275e+07   124298       -1       -1
13875912 35.19830 35.19882 35.05061  248.73  -38.26   10.61   46.96   46.85 1.6254e+10 2.1127e+10 66.00000 9.11638 0.88050 1.2793e+07 5.0622e+07   106708 13875863 13875863
13872490 35.44686 35.24261 35.25524 -111.29   30.81  130.77   51.56   54.30 1.5549e+10 2.2437e+10 65.03239 8.77378 0.65470 1.435e+07 5.5009e+07    99370 13875863 13875863
13923872 34.52199 35.24290 35.51601   93.33 -132.30   80.89   43.47   45.56 1.4521e+10 1.531e+10 63.56479 8.01141 0.92030 6.2445e+06 3.0067e+07    78353       -1       -1
13875942 35.41482 35.22482 35.29007  107.97  -59.20  157.51   43.01   54.12 1.3977e+10 2.4352e+10 62.76761 6.13008 0.44560 1.6778e+07 6.1587e+07   112185 13872490 13875863
13919851 36.75259 34.99628 34.61170   47.42  -17.49   58.86   40.30   39.70 1.0849e+10 1.1746e+10 57.68451 7.39977 0.78750 3.5719e+06 2.0004e+07    57769       -1       -1
14010851 33.46476 34.85220 35.37666   11.55  -33.59  103.72   34.51   34.51 9.0549e+09 9.0549e+09 54.30986 7.51032 1.00000 2.5254e+06 1.5526e+07    46374       -1       -1
13872479 35.53146 35.03377 35.03266   78.53  -46.03  114.30   39.34   40.43 8.5831e+09 1.171e+10 53.35070 7.66564 0.72110 4.1348e+06 2.226e+07    58784       -1       -1
13886913 34.47066 35.59899 35.81197  -13.64  -95.21  -77.13   39.73   45.73 7.2423e+09 1.4817e+10 50.41408 5.46131 0.64140 1.6452e+06 1.1345e+07    59016       -1       -1
13921820 34.75596 35.15486 35.75689   28.31  -60.10  -81.18   36.00   36.04 7.062e+09 7.0732e+09 49.99155 8.94555 0.97340 1.5675e+06 1.095e+07    38731       -1       -1
13886693 34.32217 35.24620 35.94268    9.98  -34.58  -49.55   38.09   38.09 7.0451e+09 7.0451e+09 49.95211 6.56873 1.00000 1.5604e+06 1.0913e+07    37589       -1       -1
13919816 36.75694 34.89970 34.85848    1.23  -58.43   36.44   35.25   35.25 6.8662e+09 6.8662e+09 49.52535 5.44228 1.00000 1.4852e+06 1.0526e+07    35467       -1       -1
13888020 35.98787 35.14273 35.45314  -76.17  -49.45   60.97   28.28   28.28 6.4563e+09 6.4563e+09 48.52113 11.15670 1.00000 1.3198e+06 9.6532e+06    34995       -1       -1
13876351 35.30776 35.23662 35.11670   47.77   98.80 -174.30   36.87   36.69 6.4507e+09 1.0762e+10 48.50563 5.05181 0.61490 3.517e+06 1.9779e+07    56542 13875863 13875863
13875126 35.18713 35.20531 35.31655  -68.04 -170.53 -274.60   33.31   32.67 6.4197e+09 7.1169e+09 48.42817 10.23707 0.96020 1.591e+06 1.107e+07    38363 13875863 13875863
13875884 35.33170 35.16645 35.09225  -61.15 -124.93   40.50   40.68   55.10 6.1761e+09 3.1268e+10 47.80704 6.50475 0.62820 2.7003e+07 8.6749e+07    50666 13875863 13875863
13918145 36.82510 34.48851 35.83431  -32.80  -38.69  -36.01   28.79   28.79 5.1127e+09 5.1127e+09 44.89014 6.97131 1.00000 8.4336e+05 6.9512e+06    25525       -1       -1
13875971 35.25092 35.03213 35.72918  -30.93  -38.24   15.63   32.11   38.00 4.7366e+09 1.1254e+10 43.76056 6.81542 0.68130 3.8314e+06 2.1056e+07    36992       -1       -1
13919438 36.77970 34.64601 34.44873   70.73  -15.65   72.76   27.87   27.87 4.2831e+09 4.2831e+09 42.31690 5.64519 1.00000 6.0038e+05 5.417e+06    23054       -1       -1
