# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
12541392 35.21127 35.21127 35.21127 -189.60  -21.28  -28.42  205.17  205.17 2.2577e+12 2.2577e+12 341.80282 108.78064 1.00000 4.8866e+10 4.8866e+10  6643262       -1       -1
12533122 34.70301 35.18044 35.22238 -152.03  -29.32 -128.75    8.27    7.72 3.4042e+07 4.6141e+07 8.44507 0.95125 0.65470  100.14  9043.9      273       -1       -1
12533134 35.07625 34.90199 34.95610 -201.07  -60.94 -107.15    8.37    8.27 2.7606e+07 5.9761e+07 7.87606 0.55707 0.41900  164.54   13031      298       -1       -1
12533167 35.04285 35.07663 35.26434 -397.70  -95.61  -53.32    9.25    9.54 1.1083e+08 1.4606e+08 12.51690 0.87419 0.84060  915.03   46022     1015 12540531 12541392
12533168 35.04638 35.08406 35.27569 -402.02 -112.28  -47.64    8.01    8.23 4.0845e+07 5.107e+07 8.97465 1.10195 0.78750  121.69   10438      361 12540531 12541392
12533207 35.15435 35.15265 35.17804 -265.14 -152.87  -21.09    8.08    8.03 1.5127e+07 2.4775e+07 6.44507 0.54783 0.74770  30.343  3758.4      134 12541392 12541392
12533219 34.79138 35.11966 35.08921 -147.87  -50.28  104.99    8.59   10.25 2.7042e+07 6.5817e+07 7.82113 0.68406 0.28950  198.05   14933      181       -1       -1
12533222 34.90097 35.03245 35.03248 -151.51  -74.78  126.02    9.41    9.18 4.9366e+07 6.1085e+07 9.55915 0.67097 0.33930  171.61   13440      307       -1       -1
12533266 35.14452 35.18128 35.19137 -236.64 -341.07    2.60   15.49   16.67 2.5761e+08 4.3085e+08 16.57887 2.76826 0.50860  7302.2 2.1198e+05     1883 12539539 12541392
12533271 34.86741 35.05485 35.05290 -182.58  -62.14   65.80   12.26   12.57 1.2161e+08 1.6676e+08 12.90986 1.45078 0.65470  1180.3   55495      906       -1       -1
12533272 34.92718 35.06731 35.06732 -157.68  -59.44  129.96    9.40   11.02 4.9549e+07 8.7563e+07 9.57042 1.21578 0.21310  342.62   22347      763       -1       -1
12533274 34.90254 35.18855 35.10186 -175.60 -125.34    6.13    8.07    9.47 1.9859e+07 6.2986e+07 7.05634 0.68702 0.31610  182.01   14035      163 12541392 12541392
12533296 35.00656 35.05665 35.10862 -175.00  -98.25   73.01   11.25   11.47 6.9225e+07 1.1442e+08 10.69859 0.88638 0.39240  572.66   32605      638 12533971 12541392
12533321 35.08111 34.95594 34.88880 -193.53   41.09   -5.15    8.47    8.03 2.5338e+07 3.0451e+07 7.65352 0.61284 0.57500  45.088  5029.3      157       -1       -1
12533341 34.99482 35.12511 35.16294 -213.94  -33.67 -254.18   12.81   12.44 1.8056e+08 2.1451e+08 14.72958 1.65512 0.81410  1913.9   79187     1213 12533958 12541392
12533345 34.98975 35.08301 35.11939 -145.49   66.76 -195.13    8.18    8.42 5.9958e+07 7.8296e+07 10.19859 1.17885 0.73440   276.4   19082      502 12533971 12541392
12533397 35.07862 35.14341 34.89093 -226.18   52.99   70.16    8.23    9.27 1.2293e+07 1.4183e+07 6.01408 0.45667 0.57500  10.398  1709.9       70       -1       -1
12533411 35.14559 35.17777 35.16465 -314.08  201.43   70.89    9.44    9.51 2.6859e+07 4.8042e+07 7.80282 0.60224 0.28950  108.21  9574.6      149 12539539 12541392
12533436 35.12138 35.13217 35.04252 -261.62   31.07  159.42   11.58   14.45 1.182e+08 2.593e+08 12.78732 2.07356 0.30280  2754.5 1.035e+05      747 12541392 12541392
12533450 35.12506 35.13137 35.18076 -238.44  167.75  176.35    8.32    8.56 3.0831e+07 5.031e+07 8.17042 0.85795 0.37920  118.23   10219      222 12539390 12541392
12533477 34.78930 35.04430 34.93396 -107.14 -194.05  -33.22    9.50    9.41 9.4563e+07 9.9099e+07 11.87183 1.27164 0.81410  397.14   24911      689       -1       -1
12533517 35.06806 35.09703 35.08135 -141.69 -180.74 -187.17    9.92   10.01 1.1763e+08 2.269e+08 12.76761 0.98405 0.64140  2131.9   85723     1439 12541392 12541392
12533538 34.96631 35.15952 35.17037  -43.86 -143.01  -28.56    9.32   12.93 2.9127e+07 1.3163e+08 8.01690 0.52408 0.30280  749.45   39738      377 12541392 12541392
12533541 35.06728 35.01431 35.03783 -131.68 -167.45  -67.62   10.28   10.90 1.1763e+08 1.5563e+08 12.76761 1.89253 0.73440  1033.7   50340     1317 12541392 12541392
12533546 35.01006 35.11632 35.13466   13.74 -235.52  -78.79    8.36    8.68 5.3338e+07 6.0901e+07 9.80845 0.80295 0.56180  170.63   13383      512 12533971 12541392
12533555 34.95301 35.10646 35.05159   37.75 -132.66  -57.36    9.91   10.40 1.1366e+08 1.4958e+08 12.62254 1.73084 0.49870  957.86   47596     1113 12541392 12541392
12533557 34.88149 35.04214 35.16372   17.57 -129.37    4.09    8.19    8.35 3.3479e+07 6.0521e+07 8.39718 0.86201 0.33930   54.09  5749.7      269       -1       -1
12533560 35.10589 35.08952 35.19475   99.88  -90.25 -168.53    9.91    9.97 9.8155e+07 1.0818e+08 12.01972 1.78822 0.54850  514.21   30123      615 12541392 12541392
12533570 34.76330 35.07199 35.17031 -119.08 -104.47   79.37   11.31   15.81 4.9169e+07 1.7479e+08 9.54648 0.97376 0.16330  1291.8   59305      324       -1       -1
12533571 34.78197 35.07711 35.20763  -92.66  -99.81   69.12    9.84   13.97 3.6127e+07 1.8887e+08 8.61408 0.70635 0.22640    1499   66162      223       -1       -1
12533582 35.04223 34.98487 35.02715  -57.13 -206.19   16.91    8.84    8.18 1.1839e+08 1.3711e+08 12.79437 1.90665 0.76100  810.49   42094     1225 12541392 12541392
12533586 35.01742 35.14244 34.91921  -94.51 -161.51  111.88    8.99    8.36 5.9958e+07 6.2986e+07 10.19859 0.83473 0.85390  165.59   13091      370       -1       -1
12533591 34.91265 35.01328 35.07810  -36.61 -185.57   40.46   10.18   10.00 7.5648e+07 1.061e+08 11.01972 1.09197 0.37920  258.73   18177      569 12535641 12535641
12533598 35.06496 34.91172 35.06254  -27.10  -63.69   72.60    9.42    9.32 1.3276e+08 1.5408e+08 13.29296 1.67859 0.66800  761.82   40220      937       -1       -1
12533601 35.06459 34.91845 35.12145   -3.57 -119.51   27.36   11.67   12.58 1.1499e+08 2.0127e+08 12.67042 1.71542 0.41900  1693.6   72375     1368 12541392 12541392
12533613 35.13025 35.18841 35.24310  -99.18 -253.88    4.40   14.65   18.27 1.0421e+08 4.393e+08 12.26197 0.95950 0.27620  7579.7 2.1787e+05      681 12541373 12541392
12533614 35.14839 35.16425 35.13530 -122.06 -280.76   79.58   12.03   11.77 9.362e+07 1.8197e+08 11.83099 1.19693 0.54850  1395.6   62775      737 12541392 12541392
12533624 34.92725 35.04007 35.19249    9.94 -153.80   54.94   10.20   10.87 1.1386e+08 1.6676e+08 12.62958 1.58761 0.36590  1180.3   55495      800 12541392 12541392
12533632 34.70738 35.13651 34.94573 -181.04  -91.76   68.71   11.13   17.29 5.0113e+07   3e+08 9.60704 0.84635 0.25000  3644.4 1.2716e+05     1712       -1       -1
12533647 34.88480 35.10721 35.25755  -61.03  -67.15   84.86   40.39   54.77 7.7113e+09 2.7789e+10 51.48028 6.12009 0.52190 2.1577e+07 7.3831e+07    82363       -1       -1
12533654 35.02239 35.16946 35.16349  -61.40 -186.81   84.65    8.99   10.20 4.407e+07 1.0951e+08 9.20423 0.91656 0.48540  526.36   30645      337 12541392 12541392
12533688 34.89366 34.94620 35.19828  -55.27   12.72  -39.04    8.15    9.20 2.7803e+07 6.1465e+07 7.89437 0.90558 0.41900  173.67   13558      180       -1       -1
12533717 35.07203 35.13572 35.14285   -5.22    2.11 -123.18    9.87   13.09 2.062e+07 1.1139e+08 7.14507 0.50953 0.23970  543.92   31393      129 12541392 12541392
12533732 35.14156 35.14573 35.16631   42.01  -26.54 -133.36    8.36   10.09 1.5507e+07 7.8676e+07 6.49859 0.56975 0.36590  278.98   19213       94 12541392 12541392
12533779 35.03810 34.96593 34.98541 -137.97  -11.54   -3.20    8.02    7.21 2.062e+07 4.5197e+07 7.14507 0.63211 0.68130  96.244  8783.9      267       -1       -1
12533799 35.08507 34.93672 35.15151 -113.90  -14.94  137.71   11.27   11.47 5.2958e+07 1.2293e+08 9.78451 0.61507 0.36590   657.2   36079      322 12541392 12541392
12533806 35.05000 34.95308 35.08252  -19.50  110.67   74.14    8.53    8.63   8e+07 8.038e+07 11.22817 1.13950 0.98670   290.7   19803      621 12541392 12541392
12533809 35.02134 34.99672 35.18693  -42.26  181.62    2.19   10.01    9.92 1.0024e+08 1.0231e+08 12.10423 1.32272 0.90700  461.96   27840      592 12541392 12541392
12533821 34.99566 34.98397 35.01003 -101.38   19.85   49.23   12.92   12.75 1.6451e+08 3.2099e+08 14.27887 1.94327 0.50860  4149.6 1.399e+05     1676       -1       -1
12533834 35.02814 34.98911 35.18358    9.40  -35.28  101.70    9.75   10.44 8.1324e+07 9.8338e+07 11.28873 0.94108 0.47210  428.14   26326      673 12533809 12541392
12533837 35.13158 35.09237 35.16804  -45.10  154.23    9.51   10.48   12.58 6.5056e+07 1.8042e+08 10.48028 1.20086 0.35260  1372.9   62021      384 12541392 12541392
12533840 35.02492 35.11855 35.14382  -76.85   24.60  -40.25   13.89   18.38 1.9127e+08 7.9803e+08 15.01127 2.07069 0.45880   23847 5.0609e+05     1797 12533971 12541392
12533847 35.11877 35.21165 35.02561   27.54   -1.96  154.60   11.44   11.29 2.1887e+08 2.207e+08 15.70141 1.13835 0.98670  2021.5   82436     1400 12541392 12541392
12533850 35.06645 35.15038 35.08670 -184.30 -111.29    4.20   17.53   23.87 2.7127e+08 1.3924e+09 16.86620 1.89708 0.44560   69434 1.1104e+06     3654 12541392 12541392
12533854 34.78354 35.12848 35.07231    7.87   33.02   48.18   11.49   13.08 2.3465e+08 3.2e+08 16.07324 1.82358 0.54850  2273.8   89884     2017       -1       -1
12533868 34.64601 35.14328 35.04130  -67.94 -164.73  -57.60    9.41   10.88 3.2155e+07 7.6211e+07 8.28592 0.79982 0.31610  50.058  5431.3      189 12533920 12533920
12533871 34.65683 35.16234 34.99989  -79.45 -170.50  -34.81   11.38   12.49 7.6972e+07 1.6324e+08 11.08451 1.03022 0.32930  267.49   18628      568 12533920 12533920
12533882 34.67121 35.15556 35.01832  -56.14 -119.39  -23.81   10.34   13.44 4.6521e+07 1.693e+08 9.37183 1.00336 0.30280  101.73  9149.4      251 12533920 12533920
12533883 34.63134 35.20307 35.08554  -73.47 -127.87  -42.07   10.97   15.64 5.769e+07 3.3761e+08 10.06761 1.45305 0.33930  153.77   12398      349 12533920 12533920
12533894 34.60120 35.21207 35.02669  -82.23 -202.57  -19.79    8.21    8.43 2.4394e+07 3.8394e+07 7.55775 0.74837 0.30280  29.455  3677.2      149 12533920 12533920
