# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 9383269 35.21127 35.21127 35.21127  -42.87  207.77   -0.90  175.72  177.56 1.593e+12 1.6803e+12 304.29296 54.18104 0.85390 3.9236e+10 3.9236e+10  4776057       -1       -1
 9378428 35.15524 35.10170 35.04121  -74.77   77.86  -62.88    8.24    7.56 1.5324e+07 2.8563e+07 6.47183 0.56306 0.30280  39.876  4594.9      102  9383269  9383269
 9378448 35.24158 35.18938 34.88724  -95.06  216.61  -44.20   12.73   13.33 5.8437e+07 1.129e+08 10.11127 0.82768 0.23970  558.14   31995      332       -1       -1
 9378466 35.13094 34.84896 35.22673  -49.79  120.41 -126.47   12.08   11.92 1.4423e+08 1.7451e+08 13.66761 0.99846 0.36590  1287.8   59170      964       -1       -1
 9378473 35.03597 34.93061 35.35235  -80.16   83.62  -76.34    8.13    7.94 5.5986e+07 6.5634e+07 9.96761 1.34119 0.74770  196.99   14875      547       -1       -1
 9378474 34.73848 35.20593 35.26572 -160.32  207.05  -21.09    8.84    8.81 5.769e+07 9.8915e+07 10.06761 0.85425 0.70780  432.98   26545      596       -1       -1
 9378487 35.14806 35.21548 35.17134 -338.68  119.46  -19.89    9.89    9.11 2.3268e+07 4.293e+07 7.43803 0.54936 0.48540  87.187  8168.1      138  9383257  9383269
 9378488 35.14200 35.19110 35.19372 -198.87   10.27  -93.10   10.98   15.97 4.6901e+07 1.6169e+08 9.39718 1.07357 0.49870  1112.3   53128      281  9383257  9383269
 9378505 35.18013 35.19976 35.10656 -103.00  141.08 -150.61   11.07   14.08 6.2986e+07 2.362e+08 10.36761 0.98310 0.36590  2302.7   90723      733  9383257  9383269
 9378508 35.09527 35.17059 35.11959  -69.13   76.93  -41.78    9.18    8.84 3.2901e+07 5.693e+07 8.35070 0.69544 0.33930   149.9   12168      244  9383257  9383269
 9378509 35.14658 35.18497 35.19728  -64.01   71.77  -60.54    8.89   10.10 2.6479e+07 8.0761e+07 7.76620 0.65935 0.33930  293.35   19936      221  9378488  9383269
 9378512 35.09799 35.18285 35.16532 -120.66  169.19  -42.05    8.69   10.91 2.0423e+07 8.3592e+07 7.12254 0.29116 0.26290  313.41   20930      148  9383257  9383269
 9378515 35.07639 35.11487 35.26324 -162.91  162.04  -42.69    8.31    9.30 1.7592e+07 3.0254e+07 6.77606 0.55386 0.53520   44.53  4983.4      163  9383269  9383269
 9378543 35.05731 35.13558 35.43786  -52.18   27.11  -49.85    9.97   10.51 5.6366e+07 7.9437e+07 9.99014 0.95677 0.25000  284.18   19476      319  9383269  9383269
 9378549 35.13646 35.23473 35.47387 -135.53   36.07  -54.07    9.71   10.28 1.1839e+08 1.3844e+08 12.79437 1.63003 0.54850  825.58   42669      775  9383269  9383269
 9378555 34.94513 35.18793 35.49242 -168.04  172.02   -8.48    8.53    8.57 5.3141e+07 7.8859e+07 9.79718 0.88409 0.72110  280.23   19276      570  9381314  9381314
 9378567 35.19852 35.23104 35.18456 -248.63  -23.22 -108.54   11.78   19.30 4.2746e+07 6.1394e+08 9.11127 0.72676 0.33930   14413 3.495e+05      263  9383257  9383269
