# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
16833289 35.21127 35.21127 35.21127 -213.27  -92.56   17.87  211.74  202.31 2.669e+12 2.6859e+12 361.45070 115.41195 0.81410 5.3497e+10 5.3497e+10  9047450       -1       -1
16822677 34.91335 35.09963 35.12903 -270.96 -171.96  -16.59   16.00   17.68 1.6648e+08 3.7563e+08 14.33239 1.27714 0.27620  5611.8 1.7467e+05      952 16833289 16833289
16822688 35.25706 34.97230 35.11624 -298.67  -87.35 -236.05    8.33    9.77 2.4592e+07 8.1887e+07 7.57746 0.48084 0.37920  301.25   20330      156 16833289 16833289
16822716 35.19248 35.15235 35.18524 -401.03 -250.92  -58.97   10.51   11.48 2.0042e+07 2.269e+07 7.07887 0.47883 0.88050  25.631  3319.8      200 16833283 16833289
16822726 35.29401 34.81841 34.85703 -178.48 -194.47    5.24    9.47    9.45 7.5268e+07 1.1139e+08 11.00141 1.75021 0.52190  543.92   31393      782       -1       -1
16822732 35.21773 35.15810 35.05710 -297.39 -177.33 -153.56   13.03   13.12 9.7775e+07 1.5789e+08 12.00423 1.04886 0.77420  1062.6   51372      858 16833289 16833289
16822734 35.23580 35.14310 35.03849 -240.10 -140.21 -107.15   10.21   10.15 2.307e+07 2.4014e+07 7.41831 0.51529 0.94690  28.579  3596.6      277 16833289 16833289
16822757 35.19970 35.04228 35.09175 -219.70  -80.19 -130.94   10.38   10.02 1.5887e+07 6.6577e+07 6.55070 0.38514 0.44560  202.46   15178       88 16833283 16833289
16822797 34.95238 34.92156 34.96021  -28.36 -102.70  -45.75    9.88    9.95 6.3352e+07 7.8479e+07 10.38732 0.77514 0.53520  184.05   14150      371       -1       -1
16822806 34.95149 35.07196 34.91958  -75.45 -199.86  -58.63    9.25    9.25 5.8254e+07 8.7e+07 10.10141 1.13968 0.78750  156.67   12569      523       -1       -1
16822809 34.96659 35.11551 35.04144   -5.25 -194.45    3.19    8.10    7.86 4.2549e+07 4.4451e+07 9.09718 0.81869 0.54850  93.215  8579.7      281 16833289 16833289
16822814 35.02431 34.86646 35.18503 -109.84  -84.31   -0.12    9.43   10.64 3.0831e+07 7.1493e+07 8.17042 0.63092 0.35260  232.14   16784      173       -1       -1
16822827 35.06849 35.07308 35.21269 -131.66 -313.49  -94.74    9.96   10.48 4.5775e+07 8.0183e+07 9.32113 0.77930 0.45880  289.33   19735      382 16833289 16833289
16822846 35.18762 35.08232 35.22134 -176.43 -327.09  -45.76    8.49    9.03 1.3428e+07 1.4563e+07 6.19296 0.60965 0.81410   10.94    1775       76 16833283 16833289
16822862 35.05680 34.96099 35.15928 -119.48 -171.10 -155.93   10.58   12.45 4.5014e+07 1.1045e+08 9.26901 0.68346 0.25000  535.11   31018      251 16833289 16833289
16822864 35.04749 35.00675 35.18158  -65.69 -118.16 -157.71    8.28    7.52 2.1746e+07 2.931e+07 7.27324 0.48698 0.45880  41.901  4765.3      161 16833289 16833289
16822898 35.12762 35.16304 35.13310 -161.94 -243.49  -68.86   13.69   15.19 1.0439e+08 3.0901e+08 12.26901 1.18860 0.39240  3857.6 1.3259e+05     1098 16833283 16833289
16822914 35.27007 35.05000 35.19099 -171.01 -243.84  -73.02    8.65    7.56 7.7535e+06 1.0024e+07 5.15775 0.29324 0.77420  5.3401  1047.5       57 16833283 16833289
16822919 35.23632 35.10993 35.19892 -101.69 -121.51   20.94   11.22   11.95 3.3099e+07 4.5014e+07 8.36620 0.76315 0.81410  95.496  8733.7      220 16831810 16833289
16822929 35.17675 35.13862 35.13283  137.85 -176.76  -86.60    8.25    7.90 3.2901e+07 3.8394e+07 8.35070 0.78814 0.25000  70.364  6976.8      221 16825427 16833289
16822949 35.25137 35.10599 34.86177 -188.29   32.94  -41.43    9.23   10.34 4.1225e+07 8.9648e+07 9.00141 0.76338 0.27620  358.46   23102      317       -1       -1
16822980 35.23892 35.13592 35.14589 -440.13  -33.24  -89.27    8.26    8.03 9.6451e+06 1.9479e+07 5.54648 0.28585 0.41900  19.121  2676.3       72 16833283 16833289
16822995 35.28561 35.03420 34.91211 -174.82  115.94  -41.54   10.82   13.77 4.7845e+07 1.8268e+08 9.45915 0.93844 0.30280    1406   63118      276 16833289 16833289
16822997 35.24990 34.97238 35.09770 -210.34  -59.84  -97.50    8.56   14.48 2.1944e+07 1.6e+08 7.29437 0.91104 0.48540  1090.1   52345      242 16833289 16833289
16823005 35.21817 35.10762 35.08566 -265.08  -35.80  -86.72    9.96   11.14 2.5915e+07 3.4606e+07 7.70986 0.74581 0.74770  57.639  6024.8      307 16833283 16833289
16823010 35.23156 35.11238 35.19535 -259.30  -77.43 -118.60    8.34    8.93 1.1348e+07 1.607e+07 5.85493 0.40927 0.68130  13.217  2039.8       67 16822919 16833289
16823013 35.26508 35.09614 35.21483 -183.74   24.21 -149.96    8.16    9.06 2.7042e+07 6.9592e+07 7.82113 0.69654 0.47210  220.43   16157      341 16833283 16833289
16823018 35.23034 34.98613 35.06494 -233.85   10.31  -81.97    8.67    9.59 2.2507e+07 5.1817e+07 7.35634 0.57382 0.53520  125.12   10654      326 16833289 16833289
16823032 35.20807 35.05176 35.19120 -291.81  211.24    2.38   13.36   16.02 1.0818e+08 2.8394e+08 12.41549 1.23061 0.32930  3279.2 1.1766e+05      634 16833235 16833289
16823052 35.25642 34.90483 34.80889  -28.44  -44.17  -13.45    9.09    8.69 7.7535e+07 1.0175e+08 11.11127 1.51579 0.43230  271.27   18821      557       -1       -1
16823063 35.26255 34.64383 35.09954 -104.53   87.71    3.70    8.11    7.72 3.669e+07 3.7451e+07 8.65915 0.74203 0.94690   64.49  6543.5      238       -1       -1
16823065 35.26280 34.76865 35.22321 -124.58  -46.54  -15.38   16.50   17.89 1.6845e+08 3.4493e+08 14.39296 1.06135 0.37920  4764.3 1.5485e+05     1022       -1       -1
16823070 34.90266 35.11203 35.18254 -120.92  -85.45  -19.38    9.82    9.95 3.5549e+07 6.7901e+07 8.56901 0.64053 0.43230  210.26   15606      511 16833289 16833289
16823084 35.22362 35.10539 35.19134  -88.64  -24.61 -311.49    9.13    9.53 2.893e+07 6.6944e+07 8.00000 0.51721 0.40570  204.61   15296      213 16833283 16833289
16823088 35.15720 35.07607 35.15063  -24.39  -11.29 -255.99    8.83    8.55 5.7493e+07 7.9437e+07 10.05634 1.12733 0.80080  284.18   19476      809 16833283 16833289
16823117 35.15166 35.07428 35.11482  -98.11  -64.13  -68.03   10.42   10.21 4.331e+07 6.5817e+07 9.15070 0.58475 0.45880  198.05   14933      414 16833283 16833289
16823128 35.17063 35.09904 35.21661  -46.78   12.33 -119.67    8.48   10.03 1.0024e+07 5.2014e+07 5.61831 0.39607 0.22640  126.04   10711       72 16833283 16833289
16823137 35.17770 34.97986 35.08392 -130.95  -74.36 -102.07   18.78   22.40 4.6577e+08 1.1894e+09 20.19859 2.88694 0.48540   51310 8.8899e+05     4424 16833289 16833289
16823145 35.19913 35.01330 35.09256 -111.19  103.42 -151.04    9.38   10.24 4.3873e+07 6.8465e+07 9.19014 0.83207 0.39240  213.63   15789      248 16833289 16833289
16823146 35.18444 35.05465 35.08928 -138.42   -7.03  -34.64   14.22   17.43 1.1613e+08 3.6789e+08 12.71268 1.33616 0.31610  5391.8 1.696e+05     1420 16833283 16833289
16823147 35.22428 35.03542 35.12069 -183.50    4.68  -89.51    8.51    9.20 1.5887e+07 4.7099e+07 6.55070 0.43841 0.26290  104.17  9310.1      222 16833283 16833289
16823149 35.25242 35.06218 35.14062 -179.89   -6.05  -15.89   17.26   20.47 2.4775e+08 8.2718e+08 16.36620 1.70092 0.32930   25548 5.3239e+05     2529 16833283 16833289
16823170 35.26734 34.78499 34.75200 -230.75 -142.96  166.68   16.52   16.63 5.0437e+08 5.1423e+08 20.74225 1.75543 0.84060  9881.6 2.6479e+05     3095       -1       -1
16823192 35.11528 34.75359 35.21828 -250.99 -129.29  107.97   16.12   18.58 2.8732e+08 4.9042e+08 17.19296 1.40160 0.25000  9363.8 2.5451e+05     1792       -1       -1
16823199 34.97041 35.03348 34.99201 -334.75 -138.91   28.50   11.20   11.32 1.2425e+08 1.6042e+08 13.00282 1.63530 0.61490  1095.6   52541     1188       -1       -1
16823200 35.08931 34.83201 35.06082 -272.50 -160.92   88.50    9.69    9.67 3.4803e+07 5.1634e+07 8.50704 0.68495 0.44560  124.28   10601      273       -1       -1
16823214 35.23108 35.12866 34.95899 -251.78 -330.12   90.14    8.36    8.23 5.6366e+07 6.1662e+07 9.99014 1.42155 0.69460  174.74   13620      780 16833289 16833289
16823248 35.04632 34.97972 35.13321 -356.02 -191.78  114.54   10.08   10.34 1.0004e+08 1.322e+08 12.09718 0.88905 0.66800  755.62   39979      807 16833289 16833289
16823260 35.19523 35.03148 35.12623 -164.66 -306.80   -9.34    8.84    8.67 3.5183e+07 7.4141e+07 8.53803 0.93580 0.53520  248.93   17668      552 16833283 16833289
