# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
10069164 35.21127 35.21127 35.21127  -42.50   34.86  -54.56  211.43  211.43 2.3958e+12 2.3958e+12 348.65775 79.21340 1.00000 5.0509e+10 5.0509e+10  8022913       -1       -1
10060740 34.82100 34.94868 35.01694  -26.93  -44.96  -86.82    9.09    9.34 5.8056e+07 9.4e+07 10.09014 1.16204 0.57500  392.61   24701      607       -1       -1
10060755 35.03213 34.85780 35.19015 -161.49  -15.62 -115.10    8.77    9.44 8.3592e+07 1.0742e+08 11.39296 1.57639 0.77420   507.3   29824      619       -1       -1
10060776 34.85521 35.10586 35.07024 -118.41  -50.52 -110.84    8.97    9.70 6.0521e+07 9.7394e+07 10.23099 1.60691 0.72110  420.28   25970      588       -1       -1
10060800 35.21899 35.08004 35.07611 -127.36   -6.14 -204.73    9.58   10.13 1.8718e+07 2.4592e+07 6.91972 0.62006 0.45880  29.913  3719.3      108 10069164 10069164
10060811 35.09082 34.94858 35.19637 -149.73  -72.97 -171.47    9.42   11.45 9.7972e+07 1.5465e+08 12.01268 1.87123 0.77420  1021.2   49890      865 10069164 10069164
10060830 35.17579 35.11477 35.24642 -165.83 -185.41 -175.85    9.72   12.60 1.7972e+07 1.2407e+08 6.82535 0.40444 0.21310  668.96   36553      108 10069164 10069164
10060834 35.17293 35.14065 35.19225  -78.12 -170.15 -286.19    8.82   12.25 3.669e+07 2.2507e+08 8.65915 1.10894 0.36590    2099   84748      250 10069164 10069164
10060841 35.19614 35.11408 35.25497 -171.83 -179.80 -180.21    9.72   11.61 3.7254e+07 1.3599e+08 8.70282 0.65484 0.37920  797.75   41606      305 10069164 10069164
10060842 35.19672 35.17489 35.20130 -252.49 -112.54 -138.36    8.47   10.63 1.0592e+07 3.1014e+07 5.72254 0.56758 0.52190  46.704  5161.2       73 10069164 10069164
10060854 35.10596 35.16056 35.21952  -33.64  -41.91 -104.36   10.80   12.40 2.2887e+07 7.4324e+07 7.39718 0.55101 0.47210  250.11   17730      180 10069164 10069164
10060857 34.78918 35.17993 35.26446  -95.47  -48.20  -99.35    9.61   10.33 6.0901e+07 8.9831e+07 10.25211 1.08322 0.65470  359.86   23169      645       -1       -1
10060866 35.13173 35.23076 35.14966 -370.48  -11.79 -128.92    8.61    8.55 6.2225e+07 1.0307e+08 10.32535 2.20472 0.62820  468.57   28133      661 10069164 10069164
10060902 35.19682 35.25397 35.25358 -208.70 -215.75 -229.23   10.12   11.06 2.6662e+07 6.7324e+07 7.78451 0.57236 0.68130  206.84   15419      147 10069164 10069164
