# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
17473668 35.21127 35.21127 35.21127  150.41  303.74 -140.41  187.09  187.09 1.6831e+12 1.6831e+12 309.96338 94.49089 1.00000 4.0748e+10 4.0748e+10  3815252       -1       -1
17473926 35.18037 35.22683 35.26492   27.13  108.61 -298.17  117.05  113.90 3.2042e+11 3.5606e+11 178.31127 35.31287 0.97340 6.432e+09 6.432e+09  1527983 17473668 17473668
17475198 36.29672 35.38428 36.28546  128.91  211.35 -245.13   74.72   74.72 9.862e+10 9.862e+10 120.38873 19.43719 1.00000 2.6727e+08 4.5621e+08   442103       -1       -1
17492154 36.68096 35.99132 35.70445   75.65  262.66 -171.28   67.45   67.45 6.0718e+10 6.0718e+10 102.41268 15.86077 1.00000 9.5919e+07 2.1445e+08   284250       -1       -1
17471978 35.26658 35.27324 35.04882  207.47  267.77 -280.56   64.09   69.23 5.4901e+10 6.5366e+10 99.03662 16.58985 0.84060 1.1099e+08 2.3818e+08   418533 17473668 17473668
17410303 34.50903 34.55558 35.36483  226.63  270.48 -219.46   57.43   57.43 4.4113e+10 4.4113e+10 92.06761 23.90309 1.00000 5.1891e+07 1.3835e+08   225892       -1       -1
17487239 35.07986 36.45015 34.36718   85.80  268.44 -171.57   51.37   48.61 3.2789e+10 3.4197e+10 83.40282 19.69240 0.66800 2.9553e+07 9.2549e+07   170005       -1       -1
17415339 34.17054 34.76307 35.78958  204.63  228.32 -240.63   55.80   55.80 2.9676e+10 2.9676e+10 80.67465 9.55484 1.00000 2.445e+07 8.0777e+07   148580       -1       -1
17455837 35.11127 34.66654 35.25356  212.50  349.72 -223.04   50.51   50.79 2.5549e+10 2.5859e+10 76.74789 15.46790 0.94020 1.8386e+07 6.579e+07   128867       -1       -1
17432678 33.86135 35.76970 34.64770  200.01  229.91 -250.00   48.05   48.05 2.393e+10 2.393e+10 75.08873 14.48426 1.00000 1.6227e+07 6.012e+07   122009       -1       -1
17432243 34.49661 35.99177 34.07680  102.27  248.44 -188.33   48.64   48.64 2.2789e+10 2.2789e+10 73.87887 12.27934 1.00000 1.4783e+07 5.6204e+07   111436       -1       -1
17454937 35.53249 35.04039 35.22586  110.31  327.37 -220.25   56.91   58.83 1.9183e+10 2.8282e+10 69.75070 8.62293 0.61490 2.2311e+07 7.5631e+07    96050       -1       -1
17474999 35.40401 35.65201 35.56385   27.39  174.94 -217.03   45.21   45.39 1.8254e+10 1.9028e+10 68.60423 9.10019 0.89380 9.6747e+06 4.1339e+07    99281       -1       -1
17471664 35.24224 35.28658 35.05544  369.56  281.24 -145.04   48.65   46.26 1.7732e+10 2.1197e+10 67.95493 9.21452 0.78750 1.2875e+07 5.0855e+07   120116 17471978 17473668
17475516 36.13965 35.30351 35.75231  118.92  240.94 -246.57   43.84   43.84 1.7451e+10 1.7451e+10 67.59577 13.59694 1.00000 8.8772e+06 3.8835e+07    91328       -1       -1
17430043 34.48197 36.01446 33.66055  128.34  294.38 -206.63   47.29   47.29 1.7324e+10 1.7324e+10 67.41831 6.71574 1.00000 8.7542e+06 3.8443e+07    93852       -1       -1
17432913 34.03803 36.43013 35.19600  166.72  199.30 -261.41   43.43   43.43 1.607e+10 1.607e+10 65.76056 13.03611 1.00000 7.5822e+06 3.4629e+07    80844       -1       -1
17435594 34.40630 35.60006 34.03097  184.46  309.75 -197.33   41.84   41.84 1.4592e+10 1.4592e+10 63.68028 8.12242 1.00000 6.3026e+06 3.0271e+07    69815       -1       -1
17472072 35.52131 35.25196 35.16583   -2.27  247.76 -293.75   35.27   48.58 1.37e+10 2.7338e+10 62.35070 7.72454 0.62150 5.5857e+06 2.7721e+07    93809       -1       -1
17473535 35.18503 35.19159 35.27299  226.40  357.41 -380.60   47.46   51.98 1.0261e+10 3.8028e+10 56.62113 6.00429 0.72110 3.9154e+07 1.1318e+08    98661 17473926 17473668
17494455 35.11859 36.19601 34.56701   99.88  255.65 -177.91   36.31   36.31 8.6493e+09 8.6493e+09 53.48873 8.77819 1.00000 2.3129e+06 1.4559e+07    45922       -1       -1
17416219 34.07013 34.75651 35.99052  201.59  225.61 -258.01   32.34   32.34 7.338e+09 7.338e+09 50.63380 7.99090 1.00000 1.6872e+06 1.1557e+07    39334       -1       -1
17432253 34.48131 35.91141 34.20027  134.40  254.99 -207.00   34.59   34.59 7.2225e+09 7.2225e+09 50.36901 5.11177 1.00000 1.6366e+06 1.1302e+07    40780       -1       -1
17472093 35.65290 35.27231 35.17327   16.35  240.15 -261.42   30.25   32.85 7.0338e+09 9.7493e+09 49.92394 8.02200 0.66140 1.5556e+06 1.0889e+07    35170       -1       -1
17475586 35.93114 35.28649 35.99942  136.32  224.00 -258.34   35.35   35.35 6.4254e+09 6.4254e+09 48.44085 5.13046 1.00000 1.3076e+06 9.5881e+06    33770       -1       -1
17488331 35.16389 36.56500 34.11445   63.69  279.37 -154.34   32.56   32.56 5.8915e+09 5.8915e+09 47.06056 4.68394 1.00000 1.1071e+06 8.4867e+06    30213       -1       -1
17410444 34.79961 34.85263 35.49656  129.77  334.55 -276.64   29.57   29.57 5.8085e+09 5.8085e+09 46.83944 6.62557 1.00000 1.0774e+06 8.3187e+06    32243       -1       -1
17440172 34.87841 35.52772 35.50107  203.83  158.55 -281.21   25.05   25.25 5.3761e+09 5.4225e+09 45.64789 24.98942 0.98670 9.2872e+05 7.4605e+06    25546       -1       -1
17473612 35.23456 35.20735 35.21652  -21.07  528.56 -380.04   37.19   38.15 5.3099e+09 8.9507e+09 45.45775 6.73390 0.67460 2.47e+06 1.5276e+07    43154 17473669 17473668
17472303 35.73746 35.65482 35.10961   14.40  220.50 -196.76   31.59   31.59 5.1718e+09 5.1718e+09 45.06056 7.59995 1.00000 8.6219e+05 7.0647e+06    27323       -1       -1
17456644 35.08594 35.17624 35.44330  159.64  280.48 -232.42   32.07   44.18 4.969e+09 1.3556e+10 44.46338 5.09870 0.39240 5.474e+06 2.7316e+07    69094 17473668 17473668
