# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 7726829 35.21127 35.21127 35.21127  -58.39  -49.02 -177.89  164.58  164.58 1.2341e+12 1.2341e+12 279.49155 50.67406 1.00000 3.2311e+10 3.2311e+10  4300788       -1       -1
 7733524 36.35561 35.16990 35.48748  -98.57  -51.56 -165.10   71.10   73.27 6.3972e+10 8.0408e+10 104.21549 11.83900 0.88050 1.0633e+08 2.3093e+08   374831       -1       -1
 7765151 36.15383 35.23692 35.06896  -73.92   37.77 -152.97   47.90   47.90 2.362e+10 2.362e+10 74.76761 8.22623 1.00000 1.5829e+07 5.905e+07   103112       -1       -1
 7798806 33.59763 35.57087 35.16821  -72.03  -79.78 -183.67   49.83   49.83 2.3577e+10 2.3577e+10 74.71549 16.86915 1.00000 1.5775e+07 5.8905e+07   112159       -1       -1
 7733386 36.44668 35.09921 35.37531  -69.00 -100.93 -191.52   43.31   44.43 1.4535e+10 1.5986e+10 63.59296 7.46255 0.84060 6.2561e+06 3.0108e+07    85674       -1       -1
 7726592 34.94862 34.95318 35.29408   50.11 -143.97 -158.30   37.95   38.34 1.3418e+10 1.4049e+10 61.91831 10.25790 0.85390 5.3678e+06 2.6929e+07    81988       -1       -1
 7724113 35.23314 35.36846 35.18042  -23.46 -183.08  -15.91   45.63   45.84 1.33e+10 1.3935e+10 61.73662 7.29920 0.69460 5.7709e+06 2.8388e+07    74481  7726829  7726829
 7765226 36.27135 35.07200 34.88031  -83.84 -124.11 -108.94   37.03   39.68 1.0761e+10 1.1037e+10 57.52817 5.83682 0.96020 3.5161e+06 1.9776e+07    50208       -1       -1
 7735527 36.22362 34.74332 35.39970  -89.48  -35.74 -185.17   37.26   48.99 1.0694e+10 2.7e+10 57.40845 7.87045 0.70780 3.4748e+06 1.9605e+07    83973       -1       -1
 7765042 35.86582 35.64538 35.13621  -92.46  -60.11 -233.25   40.15   38.95 1.0279e+10 1.2163e+10 56.65493 6.68152 0.68130 3.2205e+06 1.8547e+07    55281       -1       -1
 7725765 35.28238 35.10727 35.50977 -119.83   -6.98 -191.88   42.52   49.00 9.707e+09 1.8183e+10 55.58310 10.26647 0.65470 9.6035e+06 4.1117e+07    59195       -1       -1
 7724186 35.11028 35.18038 35.22515 -156.07  -83.95   16.65   38.29   39.69 9.393e+09 1.5493e+10 54.97887 14.77199 0.89380 7.0692e+06 3.2909e+07    70646  7726829  7726829
 7725993 35.34928 35.05368 35.26951  -67.53 -112.40 -320.00   42.48   44.07 9.3817e+09 1.0803e+10 54.95775 7.64418 0.78750 3.5426e+06 1.9884e+07    55986  7726829  7726829
 7799563 34.99575 35.60135 34.95570   -7.73  -97.29  -98.31   39.83   39.79 9.2268e+09 9.2282e+09 54.65211 10.09898 0.98670 2.6181e+06 1.5941e+07    49470       -1       -1
 7726184 35.25473 35.17393 35.03862   88.58 -154.57  -93.54   33.64   34.54 8.7901e+09 9.8394e+09 53.77606 7.22492 0.72110 2.9617e+06 1.7445e+07    57460  7726829  7726829
 7724715 35.25415 35.07576 35.00594   28.36   10.43 -117.47   43.60   45.78 8.0676e+09 1.31e+10 52.26056 6.47283 0.70780 5.1264e+06 2.6041e+07    49565  7726829  7726829
 7770294 36.54503 34.77052 34.82408  -46.15   41.43 -170.06   33.26   33.26 6.8113e+09 6.8113e+09 49.39155 5.60131 1.00000 1.4625e+06 1.0408e+07    32021       -1       -1
 7726837 35.24976 35.41690 35.28308  -24.95   -8.46 -129.80   41.03   60.38 6.3507e+09 2.0169e+10 48.25634 5.25783 0.37920 1.1708e+07 4.7474e+07    59861  7726829  7726829
 7735552 36.29172 34.73128 35.54772  -85.59  -33.71 -179.55   28.02   42.07 5.6268e+09 1.6338e+10 46.34648 6.44043 0.64140 1.0136e+06 7.9549e+06    50096       -1       -1
 7797324 34.67159 35.52439 35.35749    3.20  -76.86 -252.45   30.54   30.54 5.493e+09 5.493e+09 45.97746 6.87996 1.00000 9.6787e+05 7.6899e+06    30363       -1       -1
 7800828 33.95054 35.66713 34.58303  -80.94  -27.25 -155.47   33.02   33.02 5.4859e+09 5.4859e+09 45.95352 4.83139 1.00000 9.6549e+05 7.676e+06    31058       -1       -1
 7725783 35.19320 35.37814 35.21661 -139.86 -193.47 -191.05   40.82   42.29 4.8634e+09 7.6155e+09 44.14507 4.51488 0.61490 1.8118e+06 1.2175e+07    26179  7724113  7726829
 7725880 35.10752 35.24762 35.24320    6.37 -155.24 -321.02   33.14   51.19 4.593e+09 1.9338e+10 43.31408 4.26889 0.47210 1.0804e+07 4.4785e+07    32603  7726829  7726829
