# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 7439696 35.21127 35.21127 35.21127   -5.58   39.37  -99.60  188.14  188.14 1.3925e+12 1.3925e+12 290.98169 47.57665 1.00000 3.5565e+10 3.5565e+10  4925145       -1       -1
 7433192 34.98618 36.45711 36.56276    6.52   -7.21  -99.93   64.53   64.53 4.9155e+10 4.9155e+10 95.44930 15.31136 1.00000 6.377e+07 1.6023e+08   217454       -1       -1
 7452261 35.51193 34.58348 36.38456   -5.73   78.60 -104.34   40.50   40.50 9.0127e+09 9.0127e+09 54.22676 5.69751 1.00000 2.5029e+06 1.5424e+07    46410       -1       -1
 7452276 35.31345 36.43694 36.36442   -8.53   -1.53  -90.27   31.44   31.44 6.2028e+09 6.2028e+09 47.87606 7.25454 1.00000 1.2221e+06 9.1243e+06    31378       -1       -1
 7441106 35.82520 35.14659 34.52699    2.89    5.81  -50.33   34.60   33.28 5.6831e+09 5.8859e+09 46.49859 5.01106 0.88050 1.0332e+06 8.0672e+06    21110       -1       -1
 7431785 34.85099 35.34787 34.79282   60.26    7.31  -24.48   34.75   34.75 5.2845e+09 5.2845e+09 45.38451 4.55219 1.00000 8.986e+05 7.2823e+06    28089       -1       -1
 7433468 34.95218 35.27655 36.90973  -19.78   14.20  -84.96   22.06   24.66 5.0606e+09 5.3972e+09 44.73521 44.73436 0.89380 8.2694e+05 6.8516e+06    22206       -1       -1
 7401288 34.86937 35.02561 35.86079   -2.78   77.20 -164.70   31.86   31.86 4.6113e+09 4.6113e+09 43.37042 4.58078 1.00000 6.9179e+05 6.0107e+06    24620       -1       -1
 7441132 35.40848 35.55932 33.68721   54.18   56.03  -97.99   30.33   30.33 4.5535e+09 4.5535e+09 43.18873 6.43098 1.00000 6.7525e+05 5.905e+06    24487       -1       -1
 7431962 35.18708 35.30100 34.83249    4.54   12.14   37.79   30.38   30.38 3.631e+09 3.631e+09 40.04789 4.97709 1.00000 4.3725e+05 4.2921e+06    21329       -1       -1
 7432054 35.23421 35.24799 35.15003 -236.78  -31.18  -32.98   36.80   43.78 3.1986e+09 9.662e+09 38.39296 4.46144 0.45880 2.8601e+06 1.7005e+07    74697  7439696  7439696
 7450789 35.44139 35.30479 35.16883   84.66   66.37   10.83   25.31   26.82 3.0113e+09 3.7042e+09 37.62676 3.46559 0.50860 4.5434e+05 4.4146e+06    28432  7439696  7439696
 7439563 35.29475 35.26758 35.26676   57.15 -112.42  -21.09   34.89   38.86 2.962e+09 6.093e+09 37.42394 4.20554 0.33930 1.1809e+06 8.8977e+06    30838  7439696  7439696
