# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
12944717 35.21127 35.21127 35.21127   47.69 -207.97  -22.78  178.69  178.69 1.3873e+12 1.3873e+12 290.61408 77.36435 1.00000 3.5463e+10 3.5463e+10  4674699       -1       -1
12955063 35.44946 35.28727 36.81841   31.29 -219.25   27.56  121.10  121.10 8.1746e+11 8.1746e+11 243.63944 217.20469 1.00000 2.1792e+10 2.1792e+10  1814698       -1       -1
12951845 35.68603 35.22811 33.83680   76.81 -165.99   -7.07  138.71  138.71 6.3803e+11 6.3803e+11 224.32113 38.85419 1.00000 1.6184e+10 1.6184e+10  2401762       -1       -1
12951160 35.66099 35.42128 33.40856   30.15 -252.59    7.23  122.07  122.07 4.5746e+11 4.5746e+11 200.77324 43.22107 1.00000 9.9543e+09 9.9543e+09  1946671       -1       -1
12955127 35.48421 35.28635 37.00759   31.95 -200.55 -118.71  116.66  118.16 4.269e+11 4.3183e+11 196.20000 29.62480 0.94690 8.8782e+09 8.8782e+09  1827288 12955063 12955063
12969114 35.14044 34.71927 34.78920   61.18  -86.77   -1.23   48.37   48.37 4.331e+10 4.331e+10 91.50845 62.61063 1.00000 5.0112e+07 1.3496e+08   150955       -1       -1
12953287 35.49434 34.97810 36.81399  105.05 -242.95   25.60   62.24   64.00 4.3282e+10 4.9563e+10 91.49296 12.02910 0.81410 5.005e+07 1.3484e+08   253844       -1       -1
12951114 35.80576 35.32176 33.76103   53.99 -203.04  -86.51   62.15   65.26 3.3239e+10 4.4254e+10 83.78169 10.46445 0.52190 3.033e+07 9.4284e+07   221699 12951845 12951845
12949239 35.97341 35.43748 33.45908  -31.13 -309.80  -79.97   59.58   59.58 3.3197e+10 3.3197e+10 83.74648 10.01561 1.00000 3.0256e+07 9.4121e+07   183383       -1       -1
12969712 34.53238 35.59197 36.65913  105.75 -201.15  -37.94   55.84   55.56 3.2859e+10 3.3113e+10 83.46197 8.93746 0.93360 2.9674e+07 9.2819e+07   164115       -1       -1
13064112 34.21618 34.99483 33.57215  145.68 -186.99   -7.04   40.02   40.02 1.9324e+10 1.9324e+10 69.92394 9.98134 1.00000 1.0788e+07 4.474e+07    82101       -1       -1
12955054 35.47838 35.25141 36.75776  127.69 -189.48   21.93   53.87   64.59 1.7789e+10 2.8873e+10 68.02254 10.42755 0.31610 9.209e+06 3.9884e+07   111266 12955063 12955063
12949967 35.31228 35.08825 34.06837  118.56  -90.58  -15.75   42.60   43.09 1.5141e+10 1.531e+10 64.45915 10.24650 0.93360 6.7648e+06 3.1871e+07    83558       -1       -1
13032443 34.47563 35.81541 36.71501  119.48 -195.17  -20.29   34.48   34.48 1.3145e+10 1.3145e+10 61.49718 9.73838 1.00000 5.1603e+06 2.6166e+07    51308       -1       -1
13005297 35.92055 36.23877 34.75872   -1.12 -270.34  -36.06   37.67   37.67 1.0448e+10 1.0448e+10 56.96479 9.35407 1.00000 3.3228e+06 1.8975e+07    52086       -1       -1
12946478 34.95972 35.23893 35.37107  115.06 -238.62 -133.79   42.87   47.03 1.0131e+10 1.4718e+10 56.38169 8.52644 0.48540 6.4079e+06 3.0638e+07    58771       -1       -1
12983929 35.68659 36.51299 36.63568    6.77 -248.65  -11.28   32.20   32.20 8.3549e+09 8.3549e+09 52.87183 7.70106 1.00000 2.1643e+06 1.3868e+07    42254       -1       -1
12954769 35.52351 35.23265 36.90810   60.59 -163.36  -84.84   42.93   50.74 6.4028e+09 1.8718e+10 48.38451 5.62173 0.45880 1.2989e+06 9.5408e+06    43310 12955127 12955063
13062999 34.92262 35.03221 33.79848  172.55 -210.08   -1.19   29.57   29.57 5.7085e+09 5.7085e+09 46.57183 6.43357 1.00000 1.0421e+06 8.1179e+06    28950       -1       -1
13062408 35.02792 34.20168 34.73099   50.88 -115.71  -32.87   36.20   36.20 5.1676e+09 5.1676e+09 45.04789 4.28434 1.00000 8.6084e+05 7.0565e+06    26609       -1       -1
12947070 35.18365 35.26658 35.25499  120.47  -46.97 -142.51   46.22   58.45 5.0944e+09 2.0014e+10 44.83662 5.23642 0.37920 1.1537e+07 4.6969e+07    33136 12944717 12944717
13063971 34.72563 34.81158 33.39327  154.10 -176.90    3.24   28.97   28.97 5.0577e+09 5.0577e+09 44.72958 5.55912 1.00000 8.2606e+05 6.8462e+06    27446       -1       -1
12955096 35.37618 35.25476 36.91644   47.11 -295.44 -124.41   39.42   43.07 4.9592e+09 1.0858e+10 44.43803 4.50481 0.65470 7.9543e+05 6.6591e+06    29943 12955127 12955063
12944509 35.30776 35.20025 35.15938 -139.44 -142.96  137.00   40.42   42.55 4.8831e+09 7.1775e+09 44.20845 5.09876 0.43230 1.6171e+06 1.1203e+07    27321 12944717 12944717
13060984 35.11466 35.33163 33.87030  115.29 -119.77    3.61   32.80   32.80 4.8803e+09 4.8803e+09 44.20000 4.72902 1.00000 7.7132e+05 6.5104e+06    25251       -1       -1
13031271 34.61876 35.51659 36.49545  120.71 -197.28   -3.04   27.16   27.16 4.6789e+09 4.6789e+09 43.58310 6.83423 1.00000 7.1138e+05 6.1352e+06    25716       -1       -1
12969088 35.14435 34.66049 34.77748   55.46  -83.74   40.30   32.96   34.31 4.4451e+09 7.2732e+09 42.84225 5.80972 0.68130 6.4472e+05 5.7078e+06    31124 12969114 12969114
12969103 35.15877 34.70296 34.74634  109.87  -75.30  -20.69   32.82   33.81 4.3944e+09 6.2535e+09 42.68169 5.53453 0.66800 6.3068e+05 5.6163e+06    28665 12969114 12969114
13030339 34.99393 35.50737 37.11583  108.80 -257.76  -55.05   29.52   29.52 4.1803e+09 4.1803e+09 41.97465 6.90864 1.00000 5.7302e+05 5.2347e+06    22625       -1       -1
13031547 34.37314 35.84459 37.05848   68.48 -234.08  -36.82   29.53   29.53 4.1014e+09 4.1014e+09 41.70845 6.79246 1.00000 5.5245e+05 5.0961e+06    22677       -1       -1
12952825 35.45601 35.46439 36.51046  -14.23 -190.38   28.04   29.22   34.63 3.9014e+09 5.3254e+09 41.02254 5.22383 0.49870 5.019e+05 4.7494e+06    30174       -1       -1
13065289 33.83077 35.19262 33.78928  135.99 -195.09    2.08   25.00   25.00 3.8493e+09 3.8493e+09 40.83803 7.86911 1.00000 4.8911e+05 4.6602e+06    20467       -1       -1
12983707 36.14862 36.82534 36.03718    8.74 -246.80   -4.96   25.24   25.24 3.6761e+09 3.6761e+09 40.21549 6.37525 1.00000 4.4773e+05 4.3674e+06    19976       -1       -1
12955082 35.56846 35.16451 36.98697   38.17 -226.11   -7.20   32.45   35.21 3.5014e+09 4.4676e+09 39.56620 4.81590 0.40570 4.0779e+05 4.0778e+06    19816 12955127 12955063
