# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
12769635 35.21127 35.21127 35.21127   59.13   43.08 -208.93  205.32  211.10 2.5901e+12 2.6282e+12 357.86901 110.64255 0.90700 5.2668e+10 5.2668e+10  8721144       -1       -1
12767516 35.00851 34.99170 35.04015   76.85   42.16 -331.10   10.48   12.66 5.3718e+07 1.6127e+08 9.83099 0.83694 0.33930  1106.7   52932      369 12769635 12769635
12767554 35.03570 35.16754 34.91832   -9.17  -44.88 -267.54   11.10   12.44 4.1803e+07 8.2268e+07 9.04225 0.69287 0.32930  303.95   20463      275 12769635 12769635
12767560 34.95724 35.16582 35.06275 -139.10   50.48 -344.86    9.44   10.05 4.1225e+07 7.3563e+07 9.00141 0.58446 0.36590  245.22   17474      309 12772273 12769635
12767580 35.01059 35.16990 35.11934 -105.05  -39.67 -229.73   20.34   22.67 5.5563e+08 1.1896e+09 21.42254 1.73666 0.45880   51322 8.8914e+05     4527 12769635 12769635
12767581 35.09024 35.21310 35.12756 -206.22   20.69 -266.19    8.88    9.64 3.1775e+07 5.9958e+07 8.25352 0.83523 0.40570  165.59   13091      443 12769635 12769635
12767585 35.04265 34.98865 35.12583   65.25 -164.95 -247.15    8.64    9.60 2.307e+07 5.2014e+07 7.41831 0.74025 0.23970  126.04   10711      130 12769635 12769635
12767641 35.01792 35.11485 34.93441  -18.49 -144.80 -300.03   20.63   21.58 1.3242e+09 1.7408e+09 28.61408 2.83565 0.73440 1.0661e+05 1.5218e+06    13162 12769635 12769635
12767646 35.06662 34.99506 34.92121   57.72    9.69 -238.00   11.62   10.55 7.338e+07 1.2955e+08 10.90845 0.88633 0.88050  726.83   38853     1714       -1       -1
12767657 34.92786 35.23158 34.99744    0.47   46.50 -214.64    8.56   10.21 4.369e+07 1.6056e+08 9.17746 1.19826 0.39240  1097.5   52606      355 12772273 12769635
12767663 34.94297 35.10892 35.13196  -23.81    3.86 -278.60    9.67   12.34 6.5437e+07 2.0183e+08 10.50000 0.99956 0.61490  1702.7   72661      891 12769635 12769635
12767703 34.97289 35.01068 34.72887    9.32   -8.53 -202.91   13.57   13.96 1.6324e+08 3.3662e+08 14.23944 1.04276 0.53520  4546.4 1.4961e+05     1342       -1       -1
